year,age,sex,cause,deaths
2005,35,Male,Homicide,259
2005,35,Male,Other causes,909
2005,35,Male,Other unintentional injury,592
2005,35,Male,Stroke,51
2005,35,Male,Suicide,432
2005,36,Female,Alcohol-induced,44
2005,36,Female,Cancer,454
2005,36,Female,Chronic lower respiratory disease,23
2005,36,Female,Diabetes,64
2005,36,Female,Drug overdose,243
2005,36,Female,Heart disease,217
2005,36,Female,Homicide,82
2005,36,Female,Other causes,585
2005,36,Female,Other unintentional injury,232
2005,36,Female,Stroke,55
2005,36,Female,Suicide,78
2005,36,Male,Alcohol-induced,110
2005,36,Male,Cancer,305
2005,36,Male,Chronic lower respiratory disease,18
2005,36,Male,Diabetes,74
2005,36,Male,Drug overdose,420
2005,36,Male,Heart disease,461
2005,36,Male,Homicide,224
2005,36,Male,Other causes,1002
2005,36,Male,Other unintentional injury,581
2005,36,Male,Stroke,54
2005,36,Male,Suicide,366
2005,37,Female,Alcohol-induced,52
2005,37,Female,Cancer,446
2005,37,Female,Chronic lower respiratory disease,20
2005,37,Female,Diabetes,59
2005,37,Female,Drug overdose,266
2005,37,Female,Heart disease,238
2005,37,Female,Homicide,83
2005,37,Female,Other causes,671
2005,37,Female,Other unintentional injury,194
2005,37,Female,Stroke,68
2005,37,Female,Suicide,73
2005,37,Male,Alcohol-induced,141
2005,37,Male,Cancer,334
2005,37,Male,Chronic lower respiratory disease,31
2005,37,Male,Diabetes,88
2005,37,Male,Drug overdose,452
2005,37,Male,Heart disease,560
2005,37,Male,Homicide,248
2005,37,Male,Other causes,1066
2005,37,Male,Other unintentional injury,578
2005,37,Male,Stroke,87
2005,37,Male,Suicide,382
2005,38,Female,Alcohol-induced,64
2005,38,Female,Alzheimer disease,1
2005,38,Female,Cancer,559
2005,38,Female,Chronic lower respiratory disease,32
2005,38,Female,Diabetes,56
2005,38,Female,Drug overdose,294
2005,38,Female,Heart disease,253
2005,38,Female,Homicide,74
2005,38,Female,Other causes,734
2005,38,Female,Other unintentional injury,215
2005,38,Female,Stroke,70
2005,38,Female,Suicide,65
2005,38,Male,Alcohol-induced,146
2005,38,Male,Alzheimer disease,1
2005,38,Male,Cancer,438
2005,38,Male,Chronic lower respiratory disease,19
2005,38,Male,Diabetes,95
2005,38,Male,Drug overdose,483
2005,38,Male,Heart disease,617
2005,38,Male,Homicide,208
2005,38,Male,Other causes,1186
2005,38,Male,Other unintentional injury,572
2005,38,Male,Stroke,65
2005,38,Male,Suicide,420
2005,39,Female,Alcohol-induced,89
2005,39,Female,Alzheimer disease,1
2005,39,Female,Cancer,680
2005,39,Female,Chronic lower respiratory disease,43
2005,39,Female,Diabetes,79
2005,39,Female,Drug overdose,290
2005,39,Female,Heart disease,336
2005,39,Female,Homicide,84
2005,39,Female,Other causes,863
2005,39,Female,Other unintentional injury,215
2005,39,Female,Stroke,95
2005,39,Female,Suicide,87
2005,39,Male,Alcohol-induced,195
2005,39,Male,Cancer,482
2005,39,Male,Chronic lower respiratory disease,37
2005,39,Male,Diabetes,146
2005,39,Male,Drug overdose,455
2005,39,Male,Heart disease,743
2005,39,Male,Homicide,246
2005,39,Male,Other causes,1323
2005,39,Male,Other unintentional injury,564
2005,39,Male,Stroke,100
2005,39,Male,Suicide,441
2005,40,Female,Alcohol-induced,93
2005,40,Female,Cancer,800
2005,40,Female,Chronic lower respiratory disease,60
2005,40,Female,Diabetes,66
2005,40,Female,Drug overdose,347
2005,40,Female,Heart disease,360
2005,40,Female,Homicide,69
2005,40,Female,Other causes,950
2005,40,Female,Other unintentional injury,225
2005,40,Female,Stroke,110
2005,40,Female,Suicide,87
2005,40,Male,Alcohol-induced,246
2005,40,Male,Alzheimer disease,1
2005,40,Male,Cancer,610
2005,40,Male,Chronic lower respiratory disease,42
2005,40,Male,Diabetes,145
2005,40,Male,Drug overdose,556
2005,40,Male,Heart disease,904
2005,40,Male,Homicide,247
2005,40,Male,Other causes,1523
2005,40,Male,Other unintentional injury,619
2005,40,Male,Stroke,126
2005,40,Male,Suicide,461
2005,41,Female,Alcohol-induced,108
2005,41,Female,Alzheimer disease,1
2005,41,Female,Cancer,1013
2005,41,Female,Chronic lower respiratory disease,47
2005,41,Female,Diabetes,77
2005,41,Female,Drug overdose,366
2005,41,Female,Heart disease,428
2005,41,Female,Homicide,68
2005,41,Female,Other causes,1022
2005,41,Female,Other unintentional injury,252
2005,41,Female,Stroke,140
2005,41,Female,Suicide,96
2005,41,Male,Alcohol-induced,265
2005,41,Male,Alzheimer disease,2
2005,41,Male,Cancer,741
2005,41,Male,Chronic lower respiratory disease,43
2005,41,Male,Diabetes,144
2005,41,Male,Drug overdose,604
2005,41,Male,Heart disease,985
2005,41,Male,Homicide,259
2005,41,Male,Other causes,1683
2005,41,Male,Other unintentional injury,639
2005,41,Male,Stroke,128
2005,41,Male,Suicide,489
2005,42,Female,Alcohol-induced,119
2005,42,Female,Alzheimer disease,1
2005,42,Female,Cancer,1143
2005,42,Female,Chronic lower respiratory disease,54
