year,state,population,sex,table,age_label,age,qx,lx,dx,Lx,Tx,ex,open_interval,mx
2019,SC,Total,Both,1,55–56,55,0.007465300615876914,89284.109375,666.53271484375,,,26.42660903930664,FALSE,0.007493270373845314
2019,SC,Total,Both,1,56–57,56,0.0080570662394166,88617.578125,713.9976806640625,,,25.621612548828125,FALSE,0.008089655685271754
2019,SC,Total,Both,1,57–58,57,0.008704481646418571,87903.578125,765.15509033203125,,,24.825664520263672,FALSE,0.008742531247813488
2019,SC,Total,Both,1,58–59,58,0.009436078369617462,87138.421875,822.2449951171875,,,24.03926658630371,FALSE,0.009480809198921669
2019,SC,Total,Both,1,59–60,59,0.01024033036082983,86316.1796875,883.9061889648436,,,23.263500213623047,FALSE,0.010293032386857902
2019,SC,Total,Both,1,60–61,60,0.011124894954264164,85432.2734375,950.425048828125,,,22.499017715454105,FALSE,0.011187122736908446
2019,SC,Total,Both,1,61–62,61,0.012007134035229685,84481.8515625,1014.3848876953124,,,21.74650764465332,FALSE,0.012079655053895416
2019,SC,Total,Both,1,62–63,62,0.012791617773473265,83467.46875,1067.6839599609375,,,21.004716873168945,FALSE,0.012873957142975775
2019,SC,Total,Both,1,63–64,63,0.013418201357126236,82399.78125,1105.6568603515625,,,20.270404815673828,FALSE,0.013508833481000211
2019,SC,Total,Both,1,64–65,64,0.013942612335085869,81294.125,1133.4525146484375,,,19.539297103881836,FALSE,0.014040492909904025
2019,SC,Total,Both,1,65–66,65,0.014455684460699558,80160.671875,1158.77734375,,,18.80850601196289,FALSE,0.014560928555022657
2019,SC,Total,Both,1,66–67,66,0.015165753662586212,79001.890625,1198.1231689453125,,,18.077051162719727,FALSE,0.015281632398847772
2019,SC,Total,Both,1,67–68,67,0.0160120390355587,77803.765625,1245.796875,,,17.347726821899414,FALSE,0.01614126632882898
2019,SC,Total,Both,1,68–69,68,0.017054786905646324,76557.96875,1305.6798095703125,,,16.621883392333984,FALSE,0.017201470613535115
2019,SC,Total,Both,1,69–70,69,0.018291838467121124,75252.2890625,1376.502685546875,,,15.901609420776367,FALSE,0.018460678340217494
2019,SC,Total,Both,1,70–71,70,0.01964331418275833,73875.7890625,1451.165283203125,,,15.188580513000488,FALSE,0.019838157765657297
2019,SC,Total,Both,1,71–72,71,0.02115746960043907,72424.625,1532.32177734375,,,14.482894897460938,FALSE,0.021383681900314755
2019,SC,Total,Both,1,72–73,72,0.02298080176115036,70892.3046875,1629.1619873046875,,,13.785131454467772,FALSE,0.023247929794128364
2019,SC,Total,Both,1,73–74,73,0.02521270513534546,69263.140625,1746.3111572265625,,,13.097616195678713,FALSE,0.025534603347823804
2019,SC,Total,Both,1,74–75,74,0.02790462039411068,67516.828125,1884.031494140625,,,12.42345142364502,FALSE,0.028299463284262895
2019,SC,Total,Both,1,75–76,75,0.031046580523252487,65632.796875,2037.6739501953125,,,11.765722274780272,FALSE,0.03153612494449276
2019,SC,Total,Both,1,76–77,76,0.034593794494867325,63595.12109375,2199.99658203125,,,11.126690864562988,FALSE,0.035202691838429716
2019,SC,Total,Both,1,77–78,77,0.03856847435235978,61395.125,2367.916259765625,,,10.507481575012209,FALSE,0.03932686290399554
2019,SC,Total,Both,1,78–79,78,0.04293693229556084,59027.20703125,2534.447265625,,,9.908939361572264,FALSE,0.04387894596153637
2019,SC,Total,Both,1,79–80,79,0.04768529534339905,56492.7578125,2693.873779296875,,,9.3310546875,FALSE,0.048850008894223404
2019,SC,Total,Both,1,80–81,80,0.05283864960074425,53798.8828125,2842.660400390625,,,8.773252487182617,FALSE,0.05427249219989904
2019,SC,Total,Both,1,81–82,81,0.05849452689290047,50956.22265625,2980.66015625,,,8.2347869873046875,FALSE,0.06025687560827569
2019,SC,Total,Both,1,82–83,82,0.06486236304044724,47975.5625,3111.808349609375,,,7.715338706970215,FALSE,0.06703643379326507
2019,SC,Total,Both,1,83–84,83,0.07210241258144379,44863.75390625,3234.784912109375,,,7.215804100036621,FALSE,0.07479900701363344
2019,SC,Total,Both,1,84–85,84,0.08024050295352936,41628.96875,3340.329345703125,,,6.737657070159912,FALSE,0.08359432843226301
2019,SC,Total,Both,1,85–86,85,0.09251679480075836,38288.640625,3542.34228515625,,,6.281834602355957,FALSE,0.0970040465348105
2019,SC,Total,Both,1,86–87,86,0.10238136351108552,34746.296875,3557.373291015625,,,5.871285915374756,FALSE,0.10790509909885533
2019,SC,Total,Both,1,87–88,87,0.11309055238962172,31188.923828125,3527.172607421875,,,5.483928680419922,FALSE,0.11986855281565521
2019,SC,Total,Both,1,88–89,88,0.12467245012521744,27661.751953125,3448.658447265625,,,5.119433403015137,FALSE,0.13296071945782692
2019,SC,Total,Both,1,89–90,89,0.13714660704135895,24213.09375,3320.74365234375,,,4.777376651763916,FALSE,0.1472435861670665
2019,SC,Total,Both,1,90–91,90,0.15052226185798645,20892.349609375,3144.763671875,,,4.45724630355835,FALSE,0.1627727209187186
2019,SC,Total,Both,1,91–92,91,0.16479642689228058,17747.5859375,2924.73876953125,,,4.158446311950684,FALSE,0.17959471015328898
2019,SC,Total,Both,1,92–93,92,0.17995227873325348,14822.84765625,2667.4052734375,,,3.88030457496643,FALSE,0.1977445718928813
2019,SC,Total,Both,1,93–94,93,0.195957750082016,12155.4423828125,2381.953125,,,3.622082948684693,FALSE,0.21724297209882384
2019,SC,Total,Both,1,94–95,94,0.21276448667049408,9773.4892578125,2079.451416015625,,,3.3829832077026367,FALSE,0.23809339629126705
2019,SC,Total,Both,1,95–96,95,0.2303074151277542,7694.0380859375,1771.9940185546875,,,3.162161350250244,FALSE,0.2602795729568818
2019,SC,Total,Both,1,96–97,96,0.2485048621892929,5922.0439453125,1471.65673828125,,,2.958733320236206,FALSE,0.2837631196623397
2019,SC,Total,Both,1,97–98,97,0.26725950837135315,4450.38720703125,1189.4083251953125,,,2.7717885971069336,FALSE,0.3084818640327948
2019,SC,Total,Both,1,98–99,98,0.2864599823951721,3260.97900390625,934.1400146484376,,,2.6003997325897217,FALSE,0.33434875106749307
2019,SC,Total,Both,1,99–100,99,0.3059830665588379,2326.8388671875,711.9732666015625,,,2.4436328411102295,FALSE,0.36125148517526967
2019,SC,Total,Both,1,100 and over,100,1,1614.8656005859375,1614.8656005859375,,,2.3005552291870117,TRUE,
2019,SD,Total,Both,1,0–1,0,0.006935337092727423,100000,693.53369140625,,,78.3890380859375,FALSE,0.006959470228738975
2019,SD,Total,Both,1,1–2,1,4.908113623969257e-4,99306.46875,48.74074172973633,,,77.935089111328125,FALSE,4.909318398595084e-4
2019,SD,Total,Both,1,2–3,2,4.879635816905647e-4,99257.7265625,48.43415451049805,,,76.973114013671875,FALSE,4.880826649732454e-4
2019,SD,Total,Both,1,3–4,3,1.6252572822850198e-4,99209.2890625,16.124061584472656,,,76.01045227050781,FALSE,1.6253893660802082e-4
2019,SD,Total,Both,1,4–5,4,1.6289419727399945e-4,99193.1640625,16.157991409301758,,,75.0227279663086,FALSE,1.6290746561442004e-4
2019,SD,Total,Both,1,5–6,5,1.9030376279260963e-4,99177.0078125,18.87375831604004,,,74.03487396240233,FALSE,1.9032187227682764e-4
2019,SD,Total,Both,1,6–7,6,1.8354957865085453e-4,99158.1328125,18.200433731079105,,,73.04886627197266,FALSE,1.8356642542087474e-4
2019,SD,Total,Both,1,7–8,7,1.6731979849282652e-4,99139.9296875,16.58807373046875,,,72.06218719482422,FALSE,1.6733379762147606e-4
2019,SD,Total,Both,1,8–9,8,1.2820339179597795e-4,99123.34375,12.707948684692385,,,71.07415771484375,FALSE,1.2821161037763698e-4
2019,SD,Total,Both,1,9–10,9,6.898293213453144e-5,99110.6328125,6.836942195892334,,,70.08321380615234,FALSE,6.898531153906353e-5
2019,SD,Total,Both,1,10–11,10,9.340476935904007e-6,99103.796875,0.925676703453064,,,69.0880126953125,FALSE,9.34052055836243e-6
2019,SD,Total,Both,1,11–12,11,1.9418213923927397e-5,99102.875,1.924400806427002,,,68.088653564453125,FALSE,1.9418402459273904e-5
2019,SD,Total,Both,1,12–13,12,2.960777965199668e-5,99100.953125,2.934159278869629,,,67.08995819091797,FALSE,2.9608217968793434e-5
2019,SD,Total,Both,1,13–14,13,1.7343074432574213e-4,99098.015625,17.186641693115234,,,66.09193420410156,FALSE,1.7344578474151606e-4
2019,SD,Total,Both,1,14–15,14,3.886671329382807e-4,99080.828125,38.50946044921875,,,65.10330963134766,FALSE,3.887426786894692e-4
2019,SD,Total,Both,1,15–16,15,6.471854285337031e-4,99042.3203125,64.09874725341797,,,64.12843322753906,FALSE,6.473949208133316e-4
2019,SD,Total,Both,1,16–17,16,8.86105641257018e-4,98978.21875,87.70515441894531,,,63.169639587402344,FALSE,8.864984068766673e-4
2019,SD,Total,Both,1,17–18,17,0.001053379732184112,98890.515625,104.16926574707033,,,62.2252197265625,FALSE,0.0010539348289780562
2019,SD,Total,Both,1,18–19,18,0.0011060881661251187,98786.34375,109.2664031982422,,,61.29030990600586,FALSE,0.0011067002201335877
2019,SD,Total,Both,1,19–20,19,0.0010743906022980807,98677.078125,106.01772308349608,,,60.35762405395508,FALSE,0.0010749680700942205
2019,SD,Total,Both,1,20–21,20,0.0010204134741798043,98571.0625,100.58323669433594,,,59.42200469970703,FALSE,0.0010209343617693055
2019,SD,Total,Both,1,21–22,21,9.917125571519136e-4,98470.4765625,97.65441131591797,,,58.4821891784668,FALSE,9.922045480066743e-4
2019,SD,Total,Both,1,22–23,22,9.847694309428334e-4,98372.8203125,96.87454986572264,,,57.53974914550781,FALSE,9.852545552266757e-4
2019,SD,Total,Both,1,23–24,23,0.0010157724609598515,98275.9453125,99.82599639892578,,,56.59597396850586,FALSE,0.0010162886199561207
2019,SD,Total,Both,1,24–25,24,0.0010758059797808528,98176.1171875,105.6184539794922,,,55.65301513671875,FALSE,0.0010763849704747443
2019,SD,Total,Both,1,25–26,25,0.0011390992440283298,98070.5,111.7120361328125,,,54.71240997314453,FALSE,0.001139748387291503
2019,SD,Total,Both,1,26–27,26,0.0011938648531213405,97958.7890625,116.94955444335938,,,53.77423477172851,FALSE,0.0011945779354270508
2019,SD,Total,Both,1,27–28,27,0.0012539700837805867,97841.8359375,122.69073486328124,,,52.837913513183594,FALSE,0.0012547567975238444
2019,SD,Total,Both,1,28–29,28,0.0013187696458771825,97719.1484375,128.86904907226565,,,51.90362548828125,FALSE,0.0013196397963306287
2019,SD,Total,Both,1,29–30,29,0.0013874814612790942,97590.28125,135.4047088623047,,,50.97150421142578,FALSE,0.001388444681907173
2019,SD,Total,Both,1,30–31,30,0.0014604118186980486,97454.875,142.32424926757812,,,50.04163360595703,FALSE,0.0014614789992997267
2019,SD,Total,Both,1,31–32,31,0.0015364686259999871,97312.546875,149.51766967773438,,,49.11408996582031,FALSE,0.0015376499014156356
2019,SD,Total,Both,1,32–33,32,0.0016162521205842495,97163.03125,157.0399627685547,,,48.18889999389648,FALSE,0.0016175593124186833
2019,SD,Total,Both,1,33–34,33,0.0016859167953953147,97005.9921875,163.54403686523438,,,47.2661018371582,FALSE,0.0016873391521033442
2019,SD,Total,Both,1,34–35,34,0.0017569124465808272,96842.4453125,170.14369201660156,,,46.34507751464844,FALSE,0.0017584571742289183
2019,SD,Total,Both,1,35–36,35,0.0018355719512328503,96672.3046875,177.448974609375,,,45.42576599121094,FALSE,0.0018372581610066091
2019,SD,Total,Both,1,36–37,36,0.0019180128583684564,96494.859375,185.0783843994141,,,44.50837707519531,FALSE,0.0019198540107078202
2019,SD,Total,Both,1,37–38,37,0.001992457779124379,96309.78125,191.89317321777344,,,43.59294891357422,FALSE,0.0019944447025556995
2019,SD,Total,Both,1,38–39,38,0.002058426383882761,96117.890625,197.8516082763672,,,42.678977966308594,FALSE,0.0020605471261676295
2019,SD,Total,Both,1,39–40,39,0.0021267118863761425,95920.0390625,203.99429321289065,,,41.7659797668457,FALSE,0.002128975745387904
2019,SD,Total,Both,1,40–41,40,0.00219125603325665,95716.046875,209.7383728027344,,,40.85392761230469,FALSE,0.0021936594680287643
2019,SD,Total,Both,1,41–42,41,0.0022799710277467966,95506.3046875,217.75160217285156,,,39.94255065917969,FALSE,0.002282573128047127
2019,SD,Total,Both,1,42–43,42,0.0024381009861826897,95288.5546875,232.3231201171875,,,39.032684326171875,FALSE,0.0024410767820375063
2019,SD,Total,Both,1,43–44,43,0.0026867676060646772,95056.234375,255.39401245117188,,,38.12685775756836,FALSE,0.0026903818214275557
2019,SD,Total,Both,1,44–45,44,0.0029959094244986773,94800.84375,284.0147399902344,,,37.22822189331055,FALSE,0.0030004038936498213
2019,SD,Total,Both,1,45–46,45,0.003375900210812688,94516.828125,319.0793762207031,,,36.33858871459961,FALSE,0.0033816081967247926
2019,SD,Total,Both,1,46–47,46,0.0037439262960106134,94197.75,352.66943359375,,,35.45998764038086,FALSE,0.0037509479323099846
2019,SD,Total,Both,1,47–48,47,0.003986109048128128,93845.078125,374.07672119140625,,,34.591365814208984,FALSE,0.003994069446307517
2019,SD,Total,Both,1,48–49,48,0.004048652481287718,93471,378.43161010742193,,,33.72780227661133,FALSE,0.004056864899358236
2019,SD,Total,Both,1,49–50,49,0.004002180881798267,93092.5703125,372.57330322265625,,,32.862876892089844,FALSE,0.0040102056660225845
2019,SD,Total,Both,1,50–51,50,0.0039008893072605137,92720,361.6904602050782,,,31.992916107177734,FALSE,0.0039085126448523124
2019,SD,Total,Both,1,51–52,51,0.00390366674400866,92358.3125,360.53607177734375,,,31.116249084472656,FALSE,0.0039113009517342074
2019,SD,Total,Both,1,52–53,52,0.004145500715821981,91997.7734375,381.3768310546875,,,30.236234664916992,FALSE,0.004154111151197428
