year,state,sex,age_min,age_max,centered_age,mortality_at_center,beta,beta_se,beta_ci_low,beta_ci_high,doubling_time,doubling_ci_low,doubling_ci_high,r_squared,rmse_log,n_ages,beta_mean,tau_squared,shrinkage_weight,beta_shrunk,doubling_time_shrunk
2019,HI,Both,40,80,50,0.0036892081593779096,0.07286761787705799,8.584429406468184e-4,0.07113125313564202,0.07460398261847397,9.512417185496869,9.291021152378844,9.744622089507759,0.9946163856818091,0.06343190507631871,41,0.07889749030073692,2.1354201292331876e-5,0.9666416145318077,0.0730687646856911,9.486230998177568
2019,IA,Both,40,80,50,0.0037809083796721036,0.08335574881023125,7.282584329446765e-4,0.08188270709047385,0.08482879052998865,8.315529408031267,8.171131242463066,8.4651229202043,0.9970319336479114,0.05381233580273666,41,0.07889749030073692,2.1354201292331876e-5,0.9757655486118324,0.08324770536110702,8.326321759299574
2019,ID,Both,40,80,50,0.0033909367767611183,0.08294560993706444,8.79448957021598e-4,0.08116675651706105,0.08472446335706783,8.356646977288799,8.18119292935152,8.539791539092084,0.9956348500899196,0.06498407770611825,41,0.07889749030073692,2.1354201292331876e-5,0.9650468483756729,0.08280411539762247,8.370926701305565
2019,IL,Both,40,80,50,0.003851192004177896,0.08093085956346786,5.644591071229781e-4,0.07978913325275816,0.08207258587417757,8.564683290140557,8.445538460583945,8.687237876919593,0.9981064441050036,0.04170890668110134,41,0.07889749030073692,2.1354201292331876e-5,0.9852989065754839,0.08090096681196991,8.567847924128749
2019,IN,Both,40,80,50,0.004752104734658115,0.07889466710698075,5.337165308918794e-4,0.07781512352607223,0.07997421068788926,8.785729200429243,8.667133749716529,8.907615244325918,0.9982183754839542,0.03943728199300824,41,0.07889749030073692,2.1354201292331876e-5,0.9868361469459531,0.0788947042710885,8.78572506182717
2019,KS,Both,40,80,50,0.00412927555527357,0.08176128133934761,8.731171460635816e-4,0.0799952352158764,0.08352732746281882,8.477694688798477,8.29844796445201,8.664855834093212,0.9955722098670551,0.0645162087160751,41,0.07889749030073692,2.1354201292331876e-5,0.9655310582711529,0.08166256949291414,8.487942332258962
2019,KY,Both,40,80,50,0.005917229602498748,0.07460800182923819,7.034328881424943e-4,0.07318517451353712,0.07603082914493925,9.290520635392587,9.116659496617924,9.471142006114002,0.9965450952053108,0.051977931293366024,41,0.07889749030073692,2.1354201292331876e-5,0.9773528584787907,0.07470514648170581,9.278439481136507
2019,LA,Both,40,80,50,0.005646431134565129,0.07337718844664502,7.369370533728788e-4,0.07188659256014905,0.074867784333141,9.44635785635144,9.258283609351006,9.64223168569263,0.9960816951745389,0.054453614798845994,41,0.07889749030073692,2.1354201292331876e-5,0.9751989159240305,0.07351409791705309,9.428765368814458
2019,MA,Both,40,80,50,0.003311482836218619,0.08059944548346082,0.0010535997521929808,0.0784683388313471,0.08273055213557454,8.599900115965196,8.378370053956024,8.833463163400648,0.9933798600640551,0.07785239566322451,41,0.07889749030073692,2.1354201292331876e-5,0.9505849843553544,0.08051534334148003,8.608883124551598
2019,MD,Both,40,80,50,0.003953578498383125,0.07926397395195213,6.98865281196645e-4,0.07785038549334673,0.08067756241055753,8.744794715694093,8.59157316916208,8.903580581745265,0.996977368846234,0.05164042253594443,41,0.07889749030073692,2.1354201292331876e-5,0.9776394582693939,0.07925577917897554,8.745698897170376
2019,ME,Both,40,80,50,0.0042231493618092,0.07607043496094995,0.0012092009849171777,0.07362459510825847,0.07851627481364143,9.111912938525538,8.828070132022079,9.41461449860245,0.9902417703562132,0.08935005282431963,41,0.07889749030073692,2.1354201292331876e-5,0.9359158739994983,0.07625160433155526,9.090263564108378
2019,MI,Both,40,80,50,0.004254169596090697,0.07958771890807002,6.62423747932524e-4,0.07824784040791019,0.08092759740822986,8.709222855860261,8.565028528691453,8.858355412066734,0.9973055352352247,0.04894769158156844,41,0.07889749030073692,2.1354201292331876e-5,0.9798648607047439,0.0795738210589158,8.710743952420543
2019,MN,Both,40,80,50,0.0030727551017678046,0.08450474011715818,7.818433234231117e-4,0.08292331272597889,0.08608616750833747,8.202465087744894,8.0517834702400215,8.358893992217348,0.9966726806631352,0.05777182049928734,41,0.07889749030073692,2.1354201292331876e-5,0.9721709257099648,0.08434869554545421,8.217639598070832
2019,MO,Both,40,80,50,0.004868767484677691,0.07661013118882032,6.937013832173077e-4,0.07520698769976973,0.0780132746778709,9.047722145933303,8.88499019457982,9.216526306398887,0.9968124956261337,0.051258852753097474,41,0.07889749030073692,2.1354201292331876e-5,0.9779614248255964,0.07666054132455916,9.041772580568603
2019,MS,Both,40,80,50,0.006391021710123769,0.07272603315298366,6.918930701834906e-4,0.07132654732228716,0.07412551898368017,9.53093617937153,9.350992614467252,9.717941027314524,0.9964825134011976,0.05112523322490503,41,0.07889749030073692,2.1354201292331876e-5,0.9780736576011723,0.07286135063550499,9.51323540552346
2019,MT,Both,40,80,50,0.004311569822260866,0.0740199418712172,0.0016710525293596788,0.07063991909317692,0.07739996464925748,9.364330247190818,8.955394019893713,9.81240054431059,0.9805105491455189,0.1234771006911865,41,0.07889749030073692,2.1354201292331876e-5,0.8843557895588994,0.07458400210823724,9.293510149187776
2019,NC,Both,40,80,50,0.004310764965898807,0.07995786489177735,7.110897679603105e-4,0.07851955007479298,0.08139617970876172,8.668905572930408,8.515721291098052,8.82770188952554,0.996924940314104,0.052543712023554734,41,0.07889749030073692,2.1354201292331876e-5,0.9768686125822237,0.07993333695630403,8.67156566901314
2019,ND,Both,40,80,50,0.003978203562695022,0.07832815994703277,0.001120243500364549,0.07606225359061519,0.08059406630345034,8.849271845893824,8.600474108728159,9.112893029578446,0.9920858752757683,0.08277682302791785,41,0.07889749030073692,2.1354201292331876e-5,0.9444939027717493,0.07835976125300047,8.845703068466202
2019,NE,Both,40,80,50,0.0036479667162828276,0.08336489135470782,0.0010425034303808553,0.08125622913196928,0.08547355357744635,8.31461745221601,8.109492954822507,8.53038822948818,0.9939380474735581,0.07703246832902956,41,0.07889749030073692,2.1354201292331876e-5,0.9515702201018067,0.08314853610494705,8.336252362700412
2019,NH,Both,40,80,50,0.0034868102199019256,0.08136202400601154,0.0012466056572246502,0.07884052606227679,0.0838835219497463,8.519296183053793,8.26321027597294,8.79176250057518,0.9909276198467564,0.09211395186859468,41,0.07889749030073692,2.1354201292331876e-5,0.932162988102726,0.0811948374037256,8.536838088774108
2019,NJ,Both,40,80,50,0.003361452951257921,0.08176451336984028,7.136668191305246e-4,0.08032098597485345,0.08320804076482712,8.477359578044283,8.330290849162088,8.629714540318925,0.9970376425559316,0.052734135006219915,41,0.07889749030073692,2.1354201292331876e-5,0.9767045612525073,0.08169772480954633,8.484289889049045
2019,NM,Both,40,80,50,0.005603588830879411,0.062240892604024836,0.0012981398650649225,0.059615156886020274,0.0648666283220294,11.136523779787865,10.685728524671061,11.627029379209567,0.9833179309241756,0.09592190790751833,41,0.07889749030073692,2.1354201292331876e-5,0.926857061361389,0.06345920510728348,10.92272081549269
2019,NV,Both,40,80,50,0.004206939362868743,0.08183083110644919,6.854652933871585e-4,0.08044434668151465,0.08321731553138373,8.470489315430129,8.329362418552648,8.61648094805429,0.9972709293227828,0.050650273145101135,41,0.07889749030073692,2.1354201292331876e-5,0.97847043202939,0.08176767754619164,8.47703152836128
2019,NY,Both,40,80,50,0.0032344785885060094,0.08272933392732533,6.11738372122321e-4,0.08149197627659545,0.08396669157805521,8.37849342735975,8.255025505150426,8.505710773380981,0.9978720967571877,0.04520245728011581,41,0.07889749030073692,2.1354201292331876e-5,0.9827772222920945,0.08266333893633314,8.38518246999197
2019,OH,Both,40,80,50,0.004875810917839259,0.07674486021868139,7.384663652894637e-4,0.07525117100685784,0.07823854943050494,9.031838465596918,8.8594073587168225,9.211114874169558,0.9964019927471628,0.05456661842871078,41,0.07889749030073692,2.1354201292331876e-5,0.9750984392624222,0.07679846406741524,9.025534416306643
2019,OK,Both,40,80,50,0.0056906698682763265,0.07600983731291756,5.377023747686197e-4,0.07492223160179087,0.07709744302404425,9.11917726788961,8.990533970676234,9.251555456116138,0.9980521202992341,0.039731803222628835,41,0.07889749030073692,2.1354201292331876e-5,0.9866414313876052,0.07604841222348413,9.114551642748143
2019,OR,Both,40,80,50,0.003515342284800903,0.0837644666478677,8.687384356207711e-4,0.08200727730225063,0.08552165599348477,8.274954862111452,8.104931698384686,8.452264279001033,0.9958226101470079,0.06419265786369607,41,0.07889749030073692,2.1354201292331876e-5,0.9658641450019129,0.08359832824900293,8.29140002052867
2019,PA,Both,40,80,50,0.00412193357495265,0.07888551775630319,8.160157416845743e-4,0.07723497012499074,0.08053606538761564,8.786748192504076,8.606668046469196,8.97452513334585,0.9958441630311606,0.06029688243264787,41,0.07889749030073692,2.1354201292331876e-5,0.9697602551638506,0.0788858798029919,8.786707865729557
2019,RI,Both,40,80,50,0.0037304463935923992,0.07925443515585358,0.0011828748472672485,0.07686184494274624,0.08164702536896092,8.745847209646675,8.489558283692885,9.018091890407588,0.9913873180488632,0.08740476678914279,41,0.07889749030073692,2.1354201292331876e-5,0.9385061897927831,0.07923248525667859,8.748270085362735
2019,SC,Both,40,80,50,0.005164615310197022,0.07249641235481503,8.673533057704117e-4,0.07074202469876935,0.07425080001086072,9.561123896276616,9.335214980290557,9.798237801525682,0.9944485558572472,0.06409030810807903,41,0.07889749030073692,2.1354201292331876e-5,0.9659692102658205,0.0727142460924648,9.532481154772977
2019,SD,Both,40,80,50,0.004242026323699049,0.07441557296662599,0.0015069588401402368,0.0713674610038052,0.07746368492944677,9.314544697126891,8.948027468500337,9.712369906545895,0.9842584005220231,0.11135192052446766,41,0.07889749030073692,2.1354201292331876e-5,0.9038767063938874,0.07484638962245106,9.260930073666874
2019,TN,Both,40,80,50,0.005734077747961827,0.07388265429519161,6.332861228036825e-4,0.07260171220481132,0.075163596385571907,9.381730897086303,9.2218469297858,9.547256662550314,0.9971428243557549,0.046794659639888776,41,0.07889749030073692,2.1354201292331876e-5,0.9815653111179578,0.0739751012367483,9.370006515322123
2019,TX,Both,40,80,50,0.0038719132331048677,0.08377090138600937,4.7082115976097524e-4,0.08281857570119967,0.08472322707081907,8.274319233667793,8.181312309793775,8.369465119283676,0.9987695740574631,0.03478982900293614,41,0.07889749030073692,2.1354201292331876e-5,0.9897259056133805,0.08372083150053448,8.279267753755171
2019,UT,Both,40,80,50,0.003193794082476968,0.0836493200955495,0.001495878093429735,0.08062362105848728,0.08667501913261172,8.286345660289756,7.997081367809548,8.597321373808196,0.9876817445136145,0.11053314406276638,41,0.07889749030073692,2.1354201292331876e-5,0.9051515236265285,0.08319861627952546,8.331234479082598
2019,VA,Both,40,80,50,0.0035702182335600155,0.0847787904067348,6.17255028980642e-4,0.08353027426426864,0.08602730654920097,8.175950343647294,8.057292601198883,8.29815520977464,0.9979368893260655,0.04561009305601487,41,0.07889749030073692,2.1354201292331876e-5,0.9824706613213356,0.0846756951053059,8.18590481835338
2019,VT,Both,40,80,50,0.0035709958777290335,0.0795516485944726,0.001097790663284389,0.07733115738774614,0.08177213980119906,8.713171792245001,8.476568942002682,8.96336229761099,0.9926278904904627,0.08111774219339013,41,0.07889749030073692,2.1354201292331876e-5,0.9465789318531426,0.07951670275968412,8.717001038822989
