year,population,sex,age_min,age_max,centered_age,mortality_at_center,beta,beta_se,beta_ci_low,beta_ci_high,doubling_time,doubling_ci_low,doubling_ci_high,r_squared,rmse_log,n_ages,age_center
2021,Black non-Hispanic,Female,55,69,62,0.015251762411660008,0.06931860756379792,0.0010065912983627404,0.06714399927294687,0.07149321585464896,9.999438894123802,9.695286080978162,10.323293042796495,0.9972662351792141,0.015680439604084443,15,62
2021,White non-Hispanic,Both,55,69,62,0.012604068312320534,0.06757778464674484,0.0010335980712017504,0.06534483177034019,0.0698107375231495,10.257027278761697,9.928947969215985,10.60752873304607,0.9969680636607711,0.016101144681797838,15,62
2021,White non-Hispanic,Male,55,69,62,0.01565142769392173,0.06729984196883555,9.66576738498843e-4,0.06521167987891661,0.06938800405875449,10.299387937358308,9.989438231614516,10.629187621710763,0.9973256089340302,0.015057102316895065,15,62
2021,White non-Hispanic,Female,55,69,62,0.009665881449231861,0.06997395673599673,0.0011087603697991415,0.06757862558555457,0.072369287886438885,9.905787994454933,9.577919042779921,10.256899641772392,0.9967466509394467,0.01727200507526394,15,62
2022,Total,Both,55,69,62,0.011561655471885575,0.07292177744576252,0.0010501600879811203,0.0706530445074199,0.07519051038410514,9.50535223960348,9.218546024213087,9.810577667140045,0.9973111254441086,0.01635914383622442,15,62
2022,Total,Male,55,69,62,0.014365384603103692,0.07279178215582009,0.0010206766133303963,0.07058674439199651,0.07499681991964367,9.522327384101894,9.24235429319039,9.819792462882562,0.9974505508740603,0.015899857287322995,15,62
2022,Total,Female,55,69,62,0.008909325498299899,0.07541928912789249,0.0010404908060375785,0.0731714454031912,0.07766713285259377,9.190582257869586,8.924588240890586,9.472919070281414,0.997531792184626,0.016208518064099044,15,62
2022,Hispanic,Both,55,69,62,0.008939125297701748,0.07631342038189143,0.0011280059767675421,0.07387651162538013,0.07875032913840273,9.082900190965935,8.801832171923342,9.382510967421151,0.9971677437937428,0.01757180855876594,15,62
2022,Hispanic,Male,55,69,62,0.011512361102456951,0.07570321004989036,8.715508155255565e-4,0.07382033898551436,0.07758608111426636,9.156113460752106,8.933911477486532,9.389650468767968,0.9982799046660925,0.013576811111886022,15,62
2022,Hispanic,Female,55,69,62,0.006467220622762802,0.08285506983899411,0.0014165176700100628,0.07979486946337867,0.08591527021460955,8.365778725512934,8.067799575424932,8.686613377794428,0.9962146842774432,0.022066175029368192,15,62
