from_year,to_year,age,cause,years_contributed,age_band
2005,2023,40,Heart disease,0.0010241786222522364,40–49
2005,2023,40,Homicide,-0.0012094431460170085,40–49
2005,2023,40,Other causes,0.001424744779363607,40–49
2005,2023,40,Other unintentional injury,4.8021174663404054e-5,40–49
2005,2023,40,Stroke,3.16820875170265e-4,40–49
2005,2023,40,Suicide,-0.002083093966412264,40–49
2005,2023,41,Alcohol-induced,-0.0032330645098284094,40–49
2005,2023,41,Alzheimer disease,1.6744018608960687e-5,40–49
2005,2023,41,COVID-19,-5.956606137402787e-4,40–49
2005,2023,41,Cancer,0.00354530450053403,40–49
2005,2023,41,Chronic lower respiratory disease,6.204966178557925e-5,40–49
2005,2023,41,Diabetes,-4.4415749830051254e-4,40–49
2005,2023,41,Drug overdose,-0.015793920654971316,40–49
2005,2023,41,Heart disease,2.982343846298363e-4,40–49
2005,2023,41,Homicide,-9.805498191113315e-4,40–49
2005,2023,41,Other causes,0.0015930050364190151,40–49
2005,2023,41,Other unintentional injury,2.3358682422980337e-4,40–49
2005,2023,41,Stroke,5.577054445140561e-4,40–49
2005,2023,41,Suicide,-0.0012930150330703327,40–49
2005,2023,42,Alcohol-induced,-0.003552958598703526,40–49
2005,2023,42,Alzheimer disease,7.535610500042367e-6,40–49
2005,2023,42,COVID-19,-4.4551314697116595e-4,40–49
2005,2023,42,Cancer,0.004136418565522604,40–49
2005,2023,42,Chronic lower respiratory disease,2.1851179624832184e-4,40–49
2005,2023,42,Diabetes,-5.334341395197839e-4,40–49
2005,2023,42,Drug overdose,-0.015310263733105955,40–49
2005,2023,42,Heart disease,0.001606938824828319,40–49
2005,2023,42,Homicide,-8.843274611791685e-4,40–49
2005,2023,42,Other causes,0.0026229995478885826,40–49
2005,2023,42,Other unintentional injury,7.566114087609321e-4,40–49
2005,2023,42,Stroke,6.0180326237002646e-5,40–49
2005,2023,42,Suicide,-0.0017022779522406495,40–49
2005,2023,43,Alcohol-induced,-0.0023797022595672956,40–49
2005,2023,43,Alzheimer disease,-1.6720807536785287e-5,40–49
2005,2023,43,COVID-19,-5.068429339800673e-4,40–49
2005,2023,43,Cancer,0.005240260110547013,40–49
2005,2023,43,Chronic lower respiratory disease,2.9771996731398076e-4,40–49
2005,2023,43,Diabetes,-8.94627643951651e-4,40–49
2005,2023,43,Drug overdose,-0.014568933046973598,40–49
2005,2023,43,Heart disease,0.0025899312837793786,40–49
2005,2023,43,Homicide,-0.0010495673361035074,40–49
2005,2023,43,Other causes,0.003129792843921564,40–49
2005,2023,43,Other unintentional injury,2.628469314984727e-4,40–49
2005,2023,43,Stroke,3.037776066321385e-4,40–49
2005,2023,43,Suicide,-0.001367105282447767,40–49
2005,2023,44,Alcohol-induced,-0.0019058307393819973,40–49
2005,2023,44,Alzheimer disease,-2.4081537162601308e-05,40–49
2005,2023,44,COVID-19,-6.10065606032606e-4,40–49
2005,2023,44,Cancer,0.006158070853317099,40–49
2005,2023,44,Chronic lower respiratory disease,5.131724528268933e-4,40–49
2005,2023,44,Diabetes,-5.234266490745654e-4,40–49
2005,2023,44,Drug overdose,-0.012828937966787635,40–49
2005,2023,44,Heart disease,0.0023267663103894165,40–49
2005,2023,44,Homicide,-9.395390948725435e-4,40–49
2005,2023,44,Other causes,0.004088250659108894,40–49
2005,2023,44,Other unintentional injury,-3.0307292263387353e-5,40–49
2005,2023,44,Stroke,5.636473909760298e-4,40–49
2005,2023,44,Suicide,-0.0011839657731442799,40–49
2005,2023,45,Alcohol-induced,-0.0023758370275572815,40–49
2005,2023,45,Alzheimer disease,-2.5933778729836376e-5,40–49
2005,2023,45,COVID-19,-8.107947753543954e-4,40–49
2005,2023,45,Cancer,0.007016757095314574,40–49
2005,2023,45,Chronic lower respiratory disease,8.844237116676368e-4,40–49
2005,2023,45,Diabetes,-7.198151576304213e-4,40–49
2005,2023,45,Drug overdose,-0.011695678691694411,40–49
2005,2023,45,Heart disease,0.003084726194835241,40–49
2005,2023,45,Homicide,-3.8267603455466315e-4,40–49
2005,2023,45,Other causes,0.003975224919400944,40–49
2005,2023,45,Other unintentional injury,0.0013838036323647884,40–49
2005,2023,45,Stroke,4.251110016042503e-4,40–49
2005,2023,45,Suicide,-9.116855398545454e-4,40–49
2005,2023,46,Alcohol-induced,-0.0019045413414247037,40–49
2005,2023,46,Alzheimer disease,5.174718026523806e-6,40–49
2005,2023,46,COVID-19,-5.537135570392593e-4,40–49
2005,2023,46,Cancer,0.008518661492551871,40–49
2005,2023,46,Chronic lower respiratory disease,6.116771256472475e-4,40–49
2005,2023,46,Diabetes,-0.0011727665950758137,40–49
2005,2023,46,Drug overdose,-0.010892632394046586,40–49
2005,2023,46,Heart disease,0.004090967216335173,40–49
2005,2023,46,Homicide,-8.069194326978391e-4,40–49
2005,2023,46,Other causes,0.004849004493706843,40–49
2005,2023,46,Other unintentional injury,9.525128065988042e-4,40–49
2005,2023,46,Stroke,4.706319131599912e-4,40–49
2005,2023,46,Suicide,-0.0010944781837665118,40–49
2005,2023,47,Alcohol-induced,-0.001931830986805494,40–49
2005,2023,47,Alzheimer disease,-2.7486829907275023e-5,40–49
2005,2023,47,COVID-19,-5.961474570597147e-4,40–49
2005,2023,47,Cancer,0.00907438265409155,40–49
2005,2023,47,Chronic lower respiratory disease,7.383701050187597e-4,40–49
2005,2023,47,Diabetes,-5.837847018810294e-4,40–49
2005,2023,47,Drug overdose,-0.009634928452555869,40–49
2005,2023,47,Heart disease,0.003177217780816477,40–49
2005,2023,47,Homicide,-7.909397402414697e-4,40–49
2005,2023,47,Other causes,0.00566840512608735,40–49
2005,2023,47,Other unintentional injury,5.696846029366043e-4,40–49
2005,2023,47,Stroke,4.1391246043076535e-4,40–49
2005,2023,47,Suicide,-6.672361764543666e-4,40–49
2005,2023,48,Alcohol-induced,-0.0022928957699903663,40–49
2005,2023,48,Alzheimer disease,3.817640553904766e-6,40–49
2005,2023,48,COVID-19,-7.486746196718741e-4,40–49
2005,2023,48,Cancer,0.009769461950725145,40–49
2005,2023,48,Chronic lower respiratory disease,9.909700995578419e-4,40–49
2005,2023,48,Diabetes,-6.404953701348859e-4,40–49
2005,2023,48,Drug overdose,-0.00943167628373942,40–49
2005,2023,48,Heart disease,0.004667692312935401,40–49
2005,2023,48,Homicide,-4.232411926494706e-4,40–49
2005,2023,48,Other causes,0.004728232294006318,40–49
2005,2023,48,Other unintentional injury,8.536783677257631e-4,40–49
2005,2023,48,Stroke,3.287936555338433e-4,40–49
2005,2023,48,Suicide,-7.683454533520262e-4,40–49
2005,2023,49,Alcohol-induced,-0.0020019737701986173,40–49
2005,2023,49,Alzheimer disease,-3.7540968193638946e-5,40–49
2005,2023,49,COVID-19,-8.397133328941209e-4,40–49
2005,2023,49,Cancer,0.01133805691102907,40–49
2005,2023,49,Chronic lower respiratory disease,0.0012222838411091175,40–49
2005,2023,49,Diabetes,-4.3564657102024285e-4,40–49
2005,2023,49,Drug overdose,-0.009621674640712286,40–49
2005,2023,49,Heart disease,0.004686154372230078,40–49
2005,2023,49,Homicide,-2.056805950871876e-4,40–49
2005,2023,49,Other causes,0.004821339598116481,40–49
2005,2023,49,Other unintentional injury,3.5527424706316424e-4,40–49
2005,2023,49,Stroke,5.564454084563408e-4,40–49
2005,2023,49,Suicide,-0.001450598377388701,40–49
2005,2023,50,Alcohol-induced,-0.0016671972763688814,50–59
2005,2023,50,Alzheimer disease,-1.4290050721399439e-5,50–59
2005,2023,50,COVID-19,-7.849964082211613e-4,50–59
2005,2023,50,Cancer,0.012857735417362903,50–59
2005,2023,50,Chronic lower respiratory disease,5.654933603977952e-4,50–59
2005,2023,50,Diabetes,-0.001011676780777293,50–59
2005,2023,50,Drug overdose,-0.008920622916633647,50–59
2005,2023,50,Heart disease,0.004846425652928588,50–59
2005,2023,50,Homicide,-3.619444884321865e-4,50–59
2005,2023,50,Other causes,0.004859847735325218,50–59
2005,2023,50,Other unintentional injury,1.4664924444929284e-4,50–59
2005,2023,50,Stroke,5.79929220265285e-4,50–59
2005,2023,50,Suicide,-0.0011447509194795202,50–59
2005,2023,51,Alcohol-induced,-0.0015794831726125835,50–59
2005,2023,51,Alzheimer disease,-2.774045171349826e-7,50–59
2005,2023,51,COVID-19,-8.314016574644256e-4,50–59
2005,2023,51,Cancer,0.013413011523894625,50–59
2005,2023,51,Chronic lower respiratory disease,0.0011354928651599039,50–59
2005,2023,51,Diabetes,-5.116652538532662e-4,50–59
2005,2023,51,Drug overdose,-0.009654045628714414,50–59
2005,2023,51,Heart disease,0.00481911361578824,50–59
2005,2023,51,Homicide,-4.853642053035401e-4,50–59
2005,2023,51,Other causes,0.003991630496699372,50–59
2005,2023,51,Other unintentional injury,8.845894926352571e-4,50–59
2005,2023,51,Stroke,0.001018721209817386,50–59
2005,2023,51,Suicide,-7.41978609347882e-4,50–59
2005,2023,52,Alcohol-induced,-0.0020534816322097527,50–59
2005,2023,52,Alzheimer disease,6.161999337450652e-6,50–59
2005,2023,52,COVID-19,-9.17188117249168e-4,50–59
2005,2023,52,Cancer,0.014676344708448141,50–59
2005,2023,52,Chronic lower respiratory disease,0.0010005142653852772,50–59
2005,2023,52,Diabetes,-8.560131324415465e-4,50–59
2005,2023,52,Drug overdose,-0.00916784547019489,50–59
2005,2023,52,Heart disease,0.0059847581356891055,50–59
2005,2023,52,Homicide,-4.1240252696894686e-4,50–59
2005,2023,52,Other causes,0.0035203691790499647,50–59
2005,2023,52,Other unintentional injury,2.512293100238594e-4,50–59
2005,2023,52,Stroke,9.390447500337018e-4,50–59
2005,2023,52,Suicide,-8.067980386314844e-4,50–59
2005,2023,53,Alcohol-induced,-0.002522419678363974,50–59
2005,2023,53,Alzheimer disease,-5.793677776466666e-5,50–59
