year,population,sex,window,age_min,age_max,centered_age,mortality_at_center,beta,beta_se,beta_ci_low,beta_ci_high,doubling_time,doubling_ci_low,doubling_ci_high,r_squared,rmse_log,n_ages
2011,Total,Female,30–49,30,49,50,0.003028248656074384,0.07942962417444191,0.0020325221021800306,0.07515945369269483,0.08369979465618899,8.726557474798923,8.281348638992057,9.222355226183824,0.9883509839779311,0.049724148442848407,20
2012,Total,Both,30–49,30,49,50,0.0035998777067648806,0.06786116370874795,0.002910339124335171,0.06174676809785638,0.07397555931963952,10.214195316998255,9.369948492919661,11.22564308890539,0.967954143898012,0.07119929199404762,20
2012,Total,Male,30–49,30,49,50,0.004273553284370061,0.06179015831913845,0.0034029247729539546,0.054640878662357256,0.06893943797591964,11.217760229386801,10.054436196623183,12.685505751895285,0.9482329260885078,0.08325003519948,20
2012,Total,Female,30–49,30,49,50,0.002978009597821935,0.07930104558898192,0.001923620295678755,0.07525966931273544,0.0833424218652284,8.740706700798546,8.31685911024786,9.210074757033924,0.9895196018714013,0.04705994637274263,20
2013,Total,Both,30–49,30,49,50,0.003587588461877986,0.06672170961416062,0.002845362214760897,0.060743825424700394,0.07269959380362084,10.388630395837996,9.534402385139911,11.41098993541637,0.9683025469128531,0.06960968000726366,20
2013,Total,Male,30–49,30,49,50,0.004262693122394237,0.06077045697327012,0.003464497036751427,0.053491818790409276,0.06804909515613096,11.40598927641479,10.185986734571523,12.958003601930654,0.9447316674019819,0.08475635504797951,20
2013,Total,Female,30–49,30,49,50,0.0029665993335655345,0.07811843450733875,0.001614052710934331,0.07472743559282602,0.08150943342185149,8.873029585543325,8.503889077139906,9.27567198126211,0.9923743581614022,0.03948660460174015,20
2014,Total,Both,30–49,30,49,50,0.0035460098354894104,0.06422645169710746,0.002448110086836773,0.05908316325873568,0.06936974013547924,10.792238435167395,9.992068288078165,11.731720888479353,0.9745144039194935,0.05989120080502029,20
2014,Total,Male,30–49,30,49,50,0.0041705181539549415,0.05752154453669489,0.0031579144895347,0.05088701238443491,0.06415607668895487,12.050218507567436,10.804076812871534,13.621298403676024,0.9485402217494601,0.07725604001010603,20
2014,Total,Female,30–49,30,49,50,0.002980751356200896,0.07689050762226776,0.001090520222560196,0.07459940965136248,0.07918160559317304,9.014730192250772,8.753891454554033,9.291590694877378,0.9963923460011531,0.026678769873326708,20
2015,Total,Both,30–49,30,49,50,0.0034532797951355066,0.058327661963554864,0.0025341538299462085,0.05300360232885963,0.0636517215982501,11.883678467911976,10.88968472738059,13.077359841682638,0.9671391874753668,0.06199619727731594,20
2015,Total,Male,30–49,30,49,50,0.004084184963954714,0.05162640085669771,0.0029039176866712244,0.045525496185724365,0.05772730552767105,13.426215445154751,12.007267171472114,15.225472287708937,0.9461181164496635,0.07104219627573975,20
2015,Total,Female,30–49,30,49,50,0.0028745138931498804,0.07093434433669081,0.0017438733795754101,0.06727060231815121,0.07459808635523041,9.771672481667173,9.29175551848919,10.303864640333652,0.9892380714113258,0.04266257114672145,20
2016,Total,Both,30–49,30,49,50,0.003464766453474632,0.05254218632919459,0.0022194545958461554,0.04787928525146714,0.057205087406922046,13.192202856141986,12.1168800185431,14.476974268088213,0.9688814470003677,0.05429731350406795,20
2016,Total,Male,30–49,30,49,50,0.004142592934419405,0.04609157765619024,0.002471715437075168,0.04089869621723501,0.05128445909514547,15.038478086610981,13.515735425306607,16.94790408178948,0.950783800828397,0.06046868822227418,20
2016,Total,Female,30–49,30,49,50,0.0028407391078159225,0.0651051687895618,0.0015932859554072564,0.06175779920944019,0.0684525383696834,10.646576814820829,10.125952916698992,11.223637976626472,0.9893347197200331,0.03897856130253221,20
2017,Total,Both,30–49,30,49,50,0.0034459380264202683,0.050288353546107306,0.0021917199828382036,0.045683720728125814,0.0548929863640888,13.783453457557075,12.627244871731097,15.172739205832674,0.9669396700254789,0.05361880673027533,20
2017,Total,Male,30–49,30,49,50,0.004157856708312186,0.04419294277803202,0.002475202327928523,0.03899273565323106,0.04939314990283298,15.684567195296701,14.033265380392137,17.77631574055792,0.9465518730674094,0.060553992425466004,20
2017,Total,Female,30–49,30,49,50,0.0027882877886462295,0.06256850605060725,0.0015215081412030967,0.05937193606234749,0.06576507603886701,11.078212096023316,10.53974574818855,11.674660227216771,0.9894679904449835,0.03722257021905877,20
2018,Total,Both,30–49,30,49,50,0.0034669676249361563,0.05154834924489457,0.0019761512161710583,0.04739660959999166,0.05570008888979748,13.446544665610135,12.444274226049004,14.624404285661548,0.9742282420475336,0.048345076451080826,20
2018,Total,Male,30–49,30,49,50,0.0042389396157686415,0.04661487599623834,0.0021593075704514496,0.042078339129817566,0.05115141286265912,14.869656214807476,13.550890225085992,16.472778985441636,0.9628127316420045,0.05282586105791038,20
2018,Total,Female,30–49,30,49,50,0.0027437250539356266,0.06181335950777277,0.0015195079027565703,0.05862099186455105,0.06500572715099448,11.213549725812669,10.662863272799207,11.824214475277435,0.98923992320716,0.03717363586635013,20
2019,Total,Both,30–49,30,49,50,0.0034980178957744177,0.051005183706686205,0.0015604723125427114,0.04772675303207932,0.05428361438129309,13.589739908516034,12.768994630519918,14.523241924587863,0.983430864786021,0.03817579982358091,20
2019,Total,Male,30–49,30,49,50,0.004303418202949401,0.0461829996439533,0.001642141205627434,0.04273298899186263,0.04963301029604397,15.008708527028265,13.96544711726246,16.22042353957353,0.9777486456009843,0.04017376882896207,20
2019,Total,Female,30–49,30,49,50,0.0027432211358502444,0.06131357392698388,0.0013306908122289493,0.058517896270825834,0.06410925158314193,11.304954778617034,10.811968061443011,11.845046126607162,0.9915928855320387,0.032554365538183944,20
2019,Hispanic,Both,30–49,30,49,50,0.0025463032634795812,0.050154349776870305,0.0022551429241836098,0.04541647030355933,0.05489222925018128,13.820280467071356,12.62741903595865,15.262022255957278,0.9648860671468019,0.0551704020348275,20
2019,Hispanic,Male,30–49,30,49,50,0.0032219270157599744,0.044120661143964256,0.001994762647249945,0.03992982033330729,0.04831150195462122,15.710262779114506,14.347456661790712,17.359135973415825,0.9645122327271438,0.0488003913333681,20
2019,Hispanic,Female,30–49,30,49,50,0.0019041895040570358,0.06694664663714214,0.0024694841330656966,0.061758452993958886,0.0721348402803254,10.353725173373894,9.609048524489484,11.22351916146196,0.9760933521625904,0.060414101021638536,20
2019,American Indian or Alaska Native non-Hispanic,Both,30–49,30,49,50,0.009336702281613573,0.046408864373733844,0.0020723844300760737,0.042054946248734654,0.05076278249873303,14.935663475365017,13.654633304966,16.481941897162706,0.9653505525469311,0.05069935078256927,20
2019,American Indian or Alaska Native non-Hispanic,Male,30–49,30,49,50,0.011140089033547055,0.04439100430729897,0.0024578152437198446,0.03922732609092755,0.04955468252367039,15.614586589697295,13.987521365490641,17.670008375112154,0.9477056806707094,0.060128630282907596,20
2019,American Indian or Alaska Native non-Hispanic,Female,30–49,30,49,50,0.007671551353633467,0.051023000093033524,0.0016355607172685773,0.04758681453397153,0.05445918565209552,13.584994596477772,12.727828597879041,14.565950407651632,0.9818400516317507,0.04001278205315714,20
2019,Asian non-Hispanic,Both,30–49,30,49,50,0.0013890022378189107,0.06183135698030671,0.004690521981689909,0.051976935968739306,0.0716857779918741,11.21028575809379,9.669242630504987,13.335668362152543,0.9061376396190991,0.11475014763275325,20
2019,Asian non-Hispanic,Male,30–49,30,49,50,0.0018737081381225856,0.0623236624617786,0.004233223305443866,0.05342999031810956,0.07121733460544764,11.121733755377958,9.732843617358915,12.972998430902017,0.923323412500621,0.10356267408154943,20
2019,Asian non-Hispanic,Female,30–49,30,49,50,0.0010700905155871948,0.07740227885294194,0.002924666159840609,0.07125778325738569,0.0835467744484982,8.955126268011679,8.29651635428763,9.727318881872492,0.9749448132582487,0.07154979231060224,20
2019,Black non-Hispanic,Both,30–49,30,49,50,0.005598330899535063,0.0540538153863085,5.518290291067756e-4,0.05289446561661326,0.05521316515600373,12.823279459668175,12.554020016810687,13.104342249791808,0.998127529789731,0.013500088647964818,20
2019,Black non-Hispanic,Male,30–49,30,49,50,0.006992795855249163,0.048637920346338216,5.997601854820234e-4,0.04737787095379998,0.04989796973887645,14.251168134332659,13.891290250631203,14.630188453083091,0.997270452058037,0.014672688902635555,20
2019,Black non-Hispanic,Female,30–49,30,49,50,0.004470463929373315,0.06634029944617152,6.41800355983708e-4,0.0649919269328508,0.06768867195949224,10.448357730467654,10.240224257535349,10.66512739768587,0.9983181528425253,0.015701170549327757,20
2019,White non-Hispanic,Both,30–49,30,49,50,0.003622615196964446,0.04949110950872695,0.0014565639686166191,0.04643098216403933,0.05255123685341456,14.005488812848702,13.189930857258357,14.928548745987671,0.9846482335046717,0.035633759118444255,20
2019,White non-Hispanic,Male,30–49,30,49,50,0.004415986623805087,0.04486105093062076,0.0014197910810769723,0.0418781805558485,0.04784392130539302,15.450979550878612,14.487674957399717,16.551511344566848,0.9822898530926611,0.034734137649761396,20
2019,White non-Hispanic,Female,30–49,30,49,50,0.002845723754154438,0.058499478048010506,0.0015011951739032686,0.05534558402045365,0.06165337207556736,11.84877547097223,11.242648329281455,12.52398349078373,0.9882854597828169,0.03672562851286623,20
2020,Total,Both,30–49,30,49,50,0.004301423415037482,0.05026650653682982,0.0013315147770431635,0.04746909779483321,0.05306391527882643,13.789444071512758,13.062495990312366,14.602071932266451,0.9875274215710568,0.0325745232273376,20
2020,Total,Male,30–49,30,49,50,0.0053921136809861265,0.045493606901354545,0.0014622297923941735,0.04242157610261655,0.04856563770009254,15.236144763437238,14.27237885437309,16.33949617721045,0.9817441795620192,0.035772369302443714,20
2020,Total,Female,30–49,30,49,50,0.0032774204465505397,0.061172988242291025,9.324315353766306e-4,0.05921402227860247,0.06313195420597958,11.330935441874464,10.97933984901569,11.705794571743192,0.9958353877246819,0.022811247183059616,20
2020,Hispanic,Both,30–49,30,49,50,0.003816646014832665,0.05560106690564243,0.0018807664278312813,0.05164972326486628,0.05955241054641857,12.466436691516154,11.639279992195556,13.420152843905848,0.9798199489755708,0.046011558222910226,20
2020,Hispanic,Male,30–49,30,49,50,0.005157644680938174,0.05234067112560928,0.0013215669518544314,0.04956416198880414,0.05511718026241442,13.242993749478343,12.575882460965028,13.984846161961089,0.9886546761928693,0.03233115704901291,20
2020,Hispanic,Female,30–49,30,49,50,0.0024761381475896936,0.06679008664781198,0.0030415074972031378,0.060400116511379554,0.07318005678424441,10.377994929321634,9.471804355161133,11.475924560995745,0.9640159138999063,0.07440822912516078,20
2020,American Indian or Alaska Native non-Hispanic,Both,30–49,30,49,50,0.013708934182632644,0.04762819549579695,0.002930713671707547,0.04147099454927083,0.05378539644232307,14.553295025025953,12.88727473271009,16.71402357463194,0.9361946375906968,0.07169774021112393,20
2020,American Indian or Alaska Native non-Hispanic,Male,30–49,30,49,50,0.017617778165339302,0.051560167717093715,0.0030056952435208047,0.0452454363337332,0.05787489910045423,13.443462487616126,11.976646030204572,15.319714798355525,0.9423566702916728,0.07353210885258744,20
2020,American Indian or Alaska Native non-Hispanic,Female,30–49,30,49,50,0.010038428509492643,0.04303980053751978,0.003055370701051469,0.036620704890574035,0.04945889618446553,16.104795373196417,14.014610798727345,18.92773999384041,0.9168331711209651,0.07474738214362416,20
2020,Asian non-Hispanic,Both,30–49,30,49,50,0.0018058802064329304,0.06830827817909264,0.0028588037634448117,0.06230215434374741,0.07431440201443787,10.147337907458766,9.327225433709067,11.125573230350243,0.9694357631993268,0.06993851754430389,20
2020,Asian non-Hispanic,Male,30–49,30,49,50,0.002595776890485806,0.07088168322608761,0.0020434711725782293,0.0665885096010208,0.07517485685115441,9.778932285637882,9.220465586417689,10.409411243968123,0.9852601718927244,0.049992009343946243,20
2020,Asian non-Hispanic,Female,30–49,30,49,50,0.00125581795537028,0.08155944833105037,0.0022865781924080344,0.07675552580988582,0.08636337085221493,8.498674215480909,8.025939396761844,9.030583443292244,0.9860493414951469,0.05593944259869419,20
2020,Black non-Hispanic,Both,30–49,30,49,50,0.0072269834705284315,0.05293417212955785,7.740173988598206e-4,0.051308021916763216,0.05456032234235249,13.0945125365038,12.704235437074926,13.509528425875294,0.9961661643866307,0.01893576261580259,20
2020,Black non-Hispanic,Male,30–49,30,49,50,0.009144017184211727,0.047554759626792516,0.0011104460066066865,0.045221799137014886,0.049887720116570146,14.575768776873888,13.894144269176921,15.32772233275857,0.9902806391809593,0.027166239427879213,20
2020,Black non-Hispanic,Female,30–49,30,49,50,0.005689690095924385,0.06624970141017829,4.820767591792473e-4,0.06523689572173064,0.06726250709862594,10.462646107163488,10.305104737526282,10.62507915024926,0.9990478106569115,0.011793651005598245,20
2020,White non-Hispanic,Both,30–49,30,49,50,0.004169151466889352,0.047873299679607066,0.0012074853664631481,0.04533646705993611,0.05041013229927802,14.478784316076926,13.750155949697291,15.288954466689802,0.9886784831973886,0.02954023552323597,20
2020,White non-Hispanic,Male,30–49,30,49,50,0.005089623223136331,0.04227978863172396,0.001297464329006776,0.03955391722648707,0.04500566003696084,16.394291527745565,15.4013335209549,17.524109599334018,0.9833314556282389,0.03174150422553151,20
2020,White non-Hispanic,Female,30–49,30,49,50,0.003278694281294704,0.059137220826965806,0.0010188157245828375,0.056996768416245576,0.061277673237686035,11.720996875860612,11.311578001196963,12.161166322587162,0.9946859218945913,0.024924572417061953,20
2021,Total,Both,30–49,30,49,50,0.0049562782681161445,0.050533153034502114,9.23918734204811e-4,0.048592071802419624,0.0524742342665846,13.716681800692127,13.209286238243191,14.26461467579224,0.9940188885535375,0.022602987804882128,20
2021,Total,Male,30–49,30,49,50,0.006119501825352522,0.04516299765576196,0.001184586759431132,0.042674273224295386,0.04765172208722854,15.347678775514417,14.54610977733626,16.24274130965918,0.987768049713427,0.02898003805528559,20
2021,Total,Female,30–49,30,49,50,0.0038358997611715783,0.06180878948668477,3.8198415712176507e-4,0.06100627055196476,0.06261130842140479,11.214378833762265,11.07063880369222,11.36190057658953,0.9993129880955288,0.00934495960027528,20
2021,Hispanic,Both,30–49,30,49,50,0.004304006421983461,0.05063212954158852,0.0014834579549189999,0.0475155000283283,0.053748759054848744,13.68986820889301,12.896059234644145,14.587811980231658,0.9847836175162901,0.03629170058224687,20
2021,Hispanic,Male,30–49,30,49,50,0.00562272185328072,0.044921711094428274,0.0011090009465760952,0.04259178656311838,0.04725163562573817,15.430115275504669,14.669273801442442,16.274198301889598,0.9891486117153502,0.02713088710408757,20
2021,Hispanic,Female,30–49,30,49,50,0.002956531639840945,0.06636130938736746,0.0024071472954760426,0.06130408058019524,0.0714185381945397,10.445049788181135,9.705423802876714,11.306705426455279,0.9768643240391353,0.05888907644136899,20
2021,American Indian or Alaska Native non-Hispanic,Both,30–49,30,49,50,0.017126274349115168,0.052048270361582674,0.0027881679186375677,0.04619054692942402,0.057905993793741325,13.3173912551677,11.970214741999005,15.006256185254236,0.9508837524341892,0.06821046389666374,20
2021,American Indian or Alaska Native non-Hispanic,Male,30–49,30,49,50,0.021003137864836582,0.05125576821782985,0.0025436644572018863,0.04591172749671665,0.05659980893894305,13.523300979787614,12.246457957264072,15.097388365739782,0.9575508966188199,0.06222886773188994,20
2021,American Indian or Alaska Native non-Hispanic,Female,30–49,30,49,50,0.013435230588865527,0.05475039380646235,0.00349996118260965,0.04739724821792965,0.06210353939499505,12.660131414034343,11.161154216208912,14.624207240321146,0.9314828442403932,0.0856239591203592,20
2021,Asian non-Hispanic,Both,30–49,30,49,50,0.0018511529238838223,0.06305751385246207,0.0032948498027466897,0.05613529128258771,0.06997973642233643,10.992301126583053,9.904969866944278,12.347796986936608,0.953158048474919,0.08060606106715519,20
2021,Asian non-Hispanic,Male,30–49,30,49,50,0.0026012622933785754,0.06469404848306909,0.0029033165626420054,0.05859440672681765,0.07079369023932053,10.714234103641651,9.791087005307071,11.829579294002883,0.9650161804442481,0.07102749022140982,20
2021,Asian non-Hispanic,Female,30–49,30,49,50,0.0013290148695270082,0.07778347161982646,0.0016046897467467192,0.07441214356313747,0.08115479967651545,8.91123996043482,8.54104973855943,9.314973972921791,0.9923973393396477,0.039257546614803365,20
2021,Black non-Hispanic,Both,30–49,30,49,50,0.00801413338731589,0.051223166686525386,4.4288889546913597e-4,0.050292691644656266,0.052153641728394505,13.531908029073152,13.29048475981244,13.782264537706325,0.9986561672251805,0.010834948932843567,20
2021,Black non-Hispanic,Male,30–49,30,49,50,0.010024313634745045,0.04628510666014058,6.569592243106998e-4,0.044904886546246574,0.04766532677403459,14.975598644495811,14.541958011657506,15.435896488594576,0.996386777111718,0.01607202104001048,20
2021,Black non-Hispanic,Female,30–49,30,49,50,0.006331133940458664,0.06261108705595973,4.920059339451497e-4,0.06157742094540499,0.06364475316651447,11.070677944633562,10.890877033436782,11.256515292748212,0.9988897309162883,0.012036560915136333,20
2021,White non-Hispanic,Both,30–49,30,49,50,0.0049315505916608104,0.050973230699097864,7.958746252770287e-4,0.049301160157584775,0.05264530124061095,13.598258753730764,13.166363649283229,14.059449683220233,0.9956310614262115,0.019470483478002565,20
2021,White non-Hispanic,Male,30–49,30,49,50,0.005954249954848002,0.04513388149757785,0.0010597360911379938,0.04290745858686715,0.04736030440828855,15.357579662124643,14.635614977986444,16.154468322952585,0.990174059465656,0.025925658889254292,20
2021,White non-Hispanic,Female,30–49,30,49,50,0.003914555419321776,0.06201006095113368,4.02159384560331e-4,0.061165155436421106,0.06285496646584625,11.177979346064053,11.02772333728924,11.332386480738137,0.999243487809886,0.009838531602738369,20
2022,Total,Both,30–49,30,49,50,0.004212379146930949,0.04674296855849457,8.128659337237972e-4,0.045035200602573135,0.04845073651441601,14.828908003404505,14.306225878603653,15.39123111001179,0.9945859769213948,0.019886163259560236,20
2022,Total,Male,30–49,30,49,50,0.00518377735745716,0.040873311334410044,0.0010042996926543952,0.03876335597510512,0.04298326669371497,16.958429790257902,16.12597724363508,17.881505951267563,0.989249580958139,0.02456944844294289,20
2022,Total,Female,30–49,30,49,50,0.0032707990291756354,0.05919363753179604,3.858298375316308e-4,0.05838303912234322,0.06000423594124886,11.709825742464622,11.551637475037882,11.872406626647798,0.9992358439215708,0.00943904132433566,20
2022,Hispanic,Both,30–49,30,49,50,0.003204154494896383,0.03994639649419613,0.0014996906016083542,0.036795663455734796,0.043097129532657465,17.35193262452731,16.08337232842162,18.83774106679179,0.9752577029162683,0.0366888202655881,20
2022,Hispanic,Male,30–49,30,49,50,0.004179286175345411,0.033096569661711296,0.0011901016156099064,0.030596258947349977,0.035596880376072615,20.943172892078668,19.472132760989428,22.654638325316586,0.9772551746066283,0.029114954928750447,20
2022,Hispanic,Female,30–49,30,49,50,0.0021979050454077275,0.05892467205703332,0.002022639233190798,0.05467526471256654,0.0631740794015001,11.763275999042415,10.972018700180474,12.67752765723021,0.9792317221788822,0.049482371369853846,20
2022,American Indian or Alaska Native non-Hispanic,Both,30–49,30,49,50,0.014423717138090297,0.046682878161418646,0.0021170559015192473,0.0422351087574945,0.051130647565342795,14.847995836143648,13.556393544089827,16.41163479748228,0.9643027061362232,0.05179220525869939,20
2022,American Indian or Alaska Native non-Hispanic,Male,30–49,30,49,50,0.01802463681330867,0.046996300469092464,0.0020382058727807044,0.042714188828418764,0.051278412109766164,14.748973294521337,13.51732926277436,16.227562774147263,0.9672522834688353,0.04986319768258846,20
2022,American Indian or Alaska Native non-Hispanic,Female,30–49,30,49,50,0.01091276217614723,0.047406885040805334,0.0028109880330949677,0.04150121832722231,0.05331255175438836,14.621234446501198,13.001575759368707,16.70185137927101,0.9404807346575184,0.06876874110188848,20
2022,Asian non-Hispanic,Both,30–49,30,49,50,0.0016134348808507849,0.05799042888157231,0.004008056884526433,0.0495698138343309,0.06641104392881372,11.952785898091667,10.43722759881523,13.983251639325054,0.9208222054281008,0.09805414429678862,20
2022,Asian non-Hispanic,Male,30–49,30,49,50,0.002198025201902745,0.05853518955285061,0.003884452338123055,0.05037425802142205,0.06669612108427916,11.841546697890376,10.392616081586878,13.759948191498502,0.9265539015837584,0.09503025058021829,20
2022,Asian non-Hispanic,Female,30–49,30,49,50,0.001212474293359684,0.07456316139944122,0.0028413679332189336,0.06859366888410744,0.080532653914775,9.296107723312543,8.607032636643014,10.105118910187665,0.9745274224903715,0.069511962866524,20
2022,Black non-Hispanic,Both,30–49,30,49,50,0.006880980020188429,0.048809830840913095,3.807525986527392e-4,0.048009899314524505,0.049609762367301684,14.200974857280993,13.971991549324693,14.437588715172465,0.9989058717834239,0.009314830434120479,20
2022,Black non-Hispanic,Male,30–49,30,49,50,0.008711421621490979,0.044003464168229374,4.048681627508515e-4,0.043152867721714214,0.044854060614744534,15.752104832246356,15.453387520774257,16.062598319767254,0.9984785252392997,0.009904799855713195,20
2022,Black non-Hispanic,Female,30–49,30,49,50,0.005347554209688244,0.06088477725558929,8.003486513157555e-4,0.05920330713416282,0.06256624737701574,11.384572824339497,11.078612025156858,11.707913191220527,0.9968992641368235,0.01957993721267448,20
2022,White non-Hispanic,Both,30–49,30,49,50,0.0043478861726235,0.049022506772533295,6.846110905491475e-4,0.04758419224340514,0.05046082130166145,14.139366307320438,13.73634361629233,14.56675311444445,0.9965017776258245,0.01674850347534912,20
2022,White non-Hispanic,Male,30–49,30,49,50,0.005224796070401586,0.0428778922565941,8.066323215360585e-4,0.041183220633908196,0.044572563879280006,16.16560759124879,15.550982941821786,16.830815314847978,0.9936700672571621,0.019733662552470353,20
2022,White non-Hispanic,Female,30–49,30,49,50,0.0034670282684112455,0.06067728203223447,5.052492962224255e-4,0.059615792649984505,0.06173877141448444,11.423504108040216,11.227097084690724,11.62690538444305,0.9987535064976042,0.012360549968466368,20
2023,Total,Both,30–49,30,49,50,0.003885076219620335,0.047014841287239484,5.695633113627777e-4,0.045818233173084755,0.04821144940139421,14.743156875190294,14.377231739892482,15.128195317822172,0.9973652415995754,0.013933944733701353,20
2023,Total,Male,30–49,30,49,50,0.004854374257163423,0.04155361204476393,6.431164700925274e-4,0.04020247447830452,0.04290474961122334,16.680792510004846,16.15548830469405,17.241405897390862,0.9957069519756397,0.01573336830660896,20
2023,Total,Female,30–49,30,49,50,0.0029484250920333516,0.05883117177559229,5.981198437717346e-4,0.05757456861310673,0.060087774938077855,11.78197135362033,11.535577432751554,12.039120696114981,0.9981429368672027,0.014632559157127788,20
2023,Hispanic,Both,30–49,30,49,50,0.002886587886126145,0.03724990793845545,0.0011577387219148141,0.03481758914074413,0.039682226736166774,18.60802399042617,17.46744670273768,19.907960248425496,0.9829094234279815,0.028323220694515604,20
2023,Hispanic,Male,30–49,30,49,50,0.003753173652303714,0.02972234644831585,9.758028046750604e-4,0.027672260829044996,0.0317724320675867,23.320742249110715,21.815993786231857,25.048447788278043,0.9809679631778186,0.023872293176329145,20
2023,Hispanic,Female,30–49,30,49,50,0.0019987120908335726,0.05731397123263932,0.0015386694491419813,0.054081346674291396,0.06054659579098725,12.09386063559333,11.44816106512011,12.816751489833852,0.9871930925270057,0.037642408912331164,20
2023,American Indian or Alaska Native non-Hispanic,Both,30–49,30,49,50,0.011957465054360988,0.042176031812571596,0.0010346516738108692,0.04000230930709006,0.04434975431805313,16.434622954579048,15.62910981623614,17.327679140691284,0.9892835683638307,0.025311987190708683,20
