age,cause,mx_2005,mx_2023,from_year,to_year,change,age_band
22,Homicide,1.6410332994178242e-4,1.3145067987119178e-4,2005,2023,-3.265265007059063e-5,20–29
22,Other causes,1.9682844813977978e-4,1.6374869915225778e-4,2005,2023,-3.3079748987522e-5,20–29
22,Other unintentional injury,3.260568346004847e-4,2.1569656233159476e-4,2005,2023,-1.1036027226888996e-4,20–29
22,Stroke,5.255128469751402e-6,4.291345219162618e-6,2005,2023,-9.637832505887836e-7,20–29
22,Suicide,1.141796094791441e-4,1.6871762519549873e-4,2005,2023,5.4538015716354635e-5,20–29
23,Alcohol-induced,5.345050603098899e-6,8.768924891026862e-6,2005,2023,3.4238742879279627e-6,20–29
23,Cancer,4.83484122734855e-5,3.876787846559245e-5,2005,2023,-9.58053380789305e-6,20–29
23,Chronic lower respiratory disease,3.6443526839310677e-6,5.9997907149131165e-6,2005,2023,2.3554380309820488e-6,20–29
23,Diabetes,8.503489595839158e-6,8.999686072369675e-6,2005,2023,4.96196476530517e-7,20–29
23,Drug overdose,1.0933058051793202e-4,2.2660748007864156e-4,2005,2023,1.1727689956070954e-4,20–29
23,Heart disease,4.3975189052768217e-5,3.115275948127965e-5,2005,2023,-1.282242957148857e-5,20–29
23,Homicide,1.613233454753486e-4,1.3961051471240136e-4,2005,2023,-2.1712830762947243e-5,20–29
23,Other causes,2.113724556680019e-4,1.6753261765488166e-4,2005,2023,-4.383983801312024e-5,20–29
23,Other unintentional injury,3.0175240222949236e-4,2.2476139062789906e-4,2005,2023,-7.69910116015933e-5,20–29
23,Stroke,5.830964294289708e-6,5.076745989541868e-6,2005,2023,-7.542183047478401e-7,20–29
23,Suicide,1.2658051655520575e-4,1.7007099064965256e-4,2005,2023,4.349047409444681e-5,20–29
24,Alcohol-induced,6.363274541597227e-6,1.0341910176056116e-5,2005,2023,3.978635634458888e-6,20–29
24,Cancer,5.237464430391564e-5,3.860979799060949e-5,2005,2023,-1.3764846313306144e-5,20–29
24,Chronic lower respiratory disease,4.650085241936435e-6,6.205146105633668e-6,2005,2023,1.5550608636972332e-6,20–29
24,Diabetes,6.608015870120197e-6,1.0571730402190694e-5,2005,2023,3.963714532070497e-6,20–29
24,Drug overdose,1.3142609341683503e-4,2.622248780195561e-4,2005,2023,1.307987846027211e-4,20–29
24,Heart disease,4.5521887105272466e-5,3.079591030203376e-5,2005,2023,-1.4725976803238703e-5,20–29
24,Homicide,1.6348720745334414e-4,1.4501656269092018e-4,2005,2023,-1.8470644762423957e-5,20–29
24,Other causes,1.9848521743212887e-4,1.7880013593270347e-4,2005,2023,-1.9685081499425398e-5,20–29
24,Other unintentional injury,2.890395089856279e-4,2.0775748442566062e-4,2005,2023,-8.128202455996727e-5,20–29
24,Stroke,8.81068782682693e-6,6.664786557902829e-6,2005,2023,-2.145901268924101e-6,20–29
24,Suicide,1.1258101112056633e-4,1.808685179679147e-4,2005,2023,6.828750684734837e-5,20–29
25,Alcohol-induced,7.487375111543154e-6,1.7348283283602926e-5,2005,2023,9.860908172059772e-6,20–29
25,Cancer,6.448803725103297e-5,4.1316306241212235e-5,2005,2023,-2.3171731009820736e-5,20–29
25,Chronic lower respiratory disease,4.830564588092357e-6,5.934939018074685e-6,2005,2023,1.104374429982328e-6,20–29
25,Diabetes,1.014418563499395e-5,1.5065614430497279e-5,2005,2023,4.9214287955033285e-6,20–29
25,Drug overdose,1.1786577594945352e-4,2.9811655221559765e-4,2005,2023,1.8025077626614413e-4,20–29
25,Heart disease,4.758106119270972e-5,3.9033637388106586e-5,2005,2023,-8.54742380460313e-6,20–29
25,Homicide,1.5481959504836006e-4,1.2828598954453744e-4,2005,2023,-2.6533605503822617e-5,20–29
25,Other causes,2.1568470885832377e-4,1.8535271087217862e-4,2005,2023,-3.0331997986145145e-5,20–29
25,Other unintentional injury,2.5384616910425334e-4,2.1137513579758303e-4,2005,2023,-4.247103330667031e-5,20–29
25,Stroke,7.97043157035239e-6,6.16320590338525e-6,2005,2023,-1.8072256669671405e-6,20–29
25,Suicide,1.1931494532588123e-4,1.7462416726258208e-4,2005,2023,5.530922193670085e-5,20–29
26,Alcohol-induced,8.3660453600797e-6,2.7257806767837533e-5,2005,2023,1.8891761407757833e-5,20–29
26,Cancer,6.102291909705193e-5,4.770116184371568e-5,2005,2023,-1.3321757253336253e-5,20–29
26,Chronic lower respiratory disease,4.429082837689253e-6,4.542967794639589e-6,2005,2023,1.1388495695033618e-7,20–29
26,Diabetes,6.8896844141832826e-6,1.885331634775429e-5,2005,2023,1.1963631933571008e-5,20–29
26,Drug overdose,1.3090400386948236e-4,3.3390813290600977e-4,2005,2023,2.030041290365274e-4,20–29
26,Heart disease,4.99502120028288e-5,4.065956176202432e-5,2005,2023,-9.29065024080448e-6,20–29
26,Homicide,1.5747850089561788e-4,1.32427511213744e-4,2005,2023,-2.5050989681873873e-5,20–29
26,Other causes,2.2268444267270967e-4,2.0057202813333783e-4,2005,2023,-2.2112414539371845e-5,20–29
26,Other unintentional injury,2.3154260834808819e-4,1.9398472483111043e-4,2005,2023,-3.755788351697775e-5,20–29
26,Stroke,8.858165675378505e-6,4.997264574103548e-6,2005,2023,-3.860901101274957e-6,20–29
26,Suicide,1.1146525141517955e-4,1.678626600119328e-4,2005,2023,5.639740859675324e-5,20–29
27,Alcohol-induced,1.1335415078706795e-5,3.087180981024632e-5,2005,2023,1.9536394731539526e-5,20–29
27,Cancer,6.599730556935955e-5,4.7649967315814977e-5,2005,2023,-1.8347338253544578e-5,20–29
27,Chronic lower respiratory disease,3.022777354321812e-6,7.158680535709292e-6,2005,2023,4.1359031813874795e-6,20–29
27,Diabetes,1.0579720740126342e-5,1.5212196138382245e-5,2005,2023,4.632475398255903e-6,20–29
27,Drug overdose,1.23430075301474e-4,3.684483388222876e-4,2005,2023,2.4501826352081363e-4,20–29
27,Heart disease,6.725679613366031e-5,5.257156018411511e-5,2005,2023,-1.46852359495452e-5,20–29
27,Homicide,1.3174271302585896e-4,1.2192127787379887e-4,2005,2023,-9.821435152060096e-6,20–29
27,Other causes,2.196551544140517e-4,2.154315423715015e-4,2005,2023,-4.223612042550189e-6,20–29
27,Other unintentional injury,2.3199816194419907e-4,2.0200901636704656e-4,2005,2023,-2.9989145577152506e-5,20–29
27,Stroke,1.1587313191566946e-5,8.053515602672954e-6,2005,2023,-3.5337975888939917e-6,20–29
27,Suicide,1.1335415078706794e-4,1.6934753642287292e-4,2005,2023,5.599338563580498e-5,20–29
28,Alcohol-induced,8.468188826868916e-6,4.1434540377999085e-5,2005,2023,3.296635155113017e-5,20–29
28,Cancer,6.954179309337807e-5,5.6723221052234045e-5,2005,2023,-1.2818572041144025e-5,20–29
28,Chronic lower respiratory disease,7.441741696339351e-6,6.204102302588098e-6,2005,2023,-1.2376393937512529e-6,20–29
28,Diabetes,1.1547530218457613e-5,1.9055457072234875e-5,2005,2023,7.507926853777262e-6,20–29
28,Drug overdose,1.3600424479516746e-4,4.161180044378732e-4,2005,2023,2.8011375964270575e-4,20–29
28,Heart disease,6.543600457125981e-5,5.6058495805528175e-5,2005,2023,-9.377508765731633e-6,20–29
28,Homicide,1.277926677509309e-4,1.1632691817352684e-4,2005,2023,-1.1465749577404066e-5,20–29
28,Other causes,2.3890556963075639e-4,2.3819321340293594e-4,2005,2023,-7.123562278204512e-7,20–29
28,Other unintentional injury,2.206861330638566e-4,1.956507976137604e-4,2005,2023,-2.5035335450096215e-5,20–29
28,Stroke,8.9814123921337e-6,1.0414028865058595e-5,2005,2023,1.4326164729248957e-6,20–29
28,Suicide,1.0495421909664808e-4,1.6906178774552568e-4,2005,2023,6.410756864887761e-5,20–29
