year,population,sex,age_min,age_max,centered_age,mortality_at_center,beta,beta_se,beta_ci_low,beta_ci_high,doubling_time,doubling_ci_low,doubling_ci_high,r_squared,rmse_log,n_ages,beta_reference,beta_se_reference,beta_difference,beta_difference_se,beta_difference_low,beta_difference_high
2011,Total,Male,30,80,50,0.005144350808506966,0.0778710928407191,8.03081954902613e-4,0.07625723923076146,0.07948494645067673,8.901212956876547,8.72048370807003,9.08959185451781,0.9948155125849998,0.08274732412056791,51,0.07908750966430296,6.290242573874038e-4,-0.0012164168235838657,0.001020103986205317,-0.003215820636546287,7.829869893785555e-4
2011,Total,Female,30,80,50,0.003104996561511406,0.0830006799283265,6.097308751636917e-4,0.08177537986028441,0.0842259799963686,8.35110243866072,8.22961253273432,8.476233088054219,0.9973626833957399,0.06282496829306276,51,0.0850919783187185,4.895819727167643e-4,-0.002091298390391988,7.819605157149049e-4,-0.0036239410011932012,-5.586557795907744e-4
2012,Total,Both,30,80,50,0.0040769965850353095,0.07913158731133141,7.058118411665201e-4,0.07771320531325057,0.08054996930941224,8.759424701451536,8.605182429026092,8.91929727728988,0.9961168471052614,0.07272488297439492,51,0.08070412131482982,5.302040051289769e-4,-0.0015725340034984103,8.827721349168659e-4,-0.0033027673879354675,1.576993809386468e-4
2012,Total,Male,30,80,50,0.005117879778037407,0.07753221833882455,8.381275683165229e-4,0.07584793793198032,0.07921649874566879,8.940117997537666,8.750035554908232,9.138642387108176,0.9943065929998618,0.08635832635323117,51,0.07908750966430296,6.290242573874038e-4,-0.0015552913254784084,0.0010479166651761688,-0.003609207989223699,4.986253382668823e-4
2012,Total,Female,30,80,50,0.0030693776194024363,0.08302414236170223,5.927589886788025e-4,0.08183294857646754,0.08421533614693692,8.34874243614811,8.230652661061146,8.470270137122634,0.9975085040381613,0.06107623245940438,51,0.0850919783187185,4.895819727167643e-4,-0.002067835957016262,7.688001864390743e-4,-0.0035746843224368475,-5.609875915956763e-4
2013,Total,Both,30,80,50,0.004099656707228396,0.078790310569974,7.151699464916537e-4,0.07735312275516533,0.08022749838478267,8.797365761673936,8.63977058384036,8.96081704101157,0.9959791376237992,0.0736891160389856,51,0.08070412131482982,5.302040051289769e-4,-0.0019138107448558178,8.902720592154305e-4,-0.0036587439809180615,-1.6887750879357412e-4
2013,Total,Male,30,80,50,0.005143338732957498,0.07723886318627031,8.601352398791922e-4,0.07551035670762686,0.07896736966491376,8.974072791417735,8.777640479874306,9.17949816134208,0.9939601412089754,0.08862593543200328,51,0.07908750966430296,6.290242573874038e-4,-0.0018486464780326506,0.0010656003693992463,-0.003937223202055173,2.399302459898723e-4
2013,Total,Female,30,80,50,0.0030877008809049237,0.08260850678435076,5.778492317856632e-4,0.08144727527736013,0.08376973829134139,8.390748211554092,8.274434117834534,8.510378993029606,0.9976081408536928,0.05953997270575934,51,0.0850919783187185,4.895819727167643e-4,-0.0024834715343677316,7.573640093670412e-4,-0.003967904992727133,-9.99038076008331e-4
2014,Total,Both,30,80,50,0.004134281392740734,0.07801133074956947,7.240621851322005e-4,0.0765562733121861,0.07946638818695283,8.885211595544673,8.722520255095091,9.054087282088368,0.9957965772563248,0.07460534750011462,51,0.08070412131482982,5.302040051289769e-4,-0.002692790565260353,8.974309639148992e-4,-0.004451755254533556,-9.338258759871503e-4
2014,Total,Male,30,80,50,0.005177967462087575,0.07652665946553402,9.003933379918012e-4,0.07471725130982956,0.07833606762123849,9.057590980723836,8.84837855164457,9.2769362952830825,0.993262494218951,0.09277401754574674,51,0.07908750966430296,6.290242573874038e-4,-0.0025608501987689353,0.001098353167010408,-0.004713622406109334,-4.080779914285358e-4
2014,Total,Female,30,80,50,0.0031212958714015135,0.0817372156107579,5.529779569782465e-4,0.0806259648017361,0.0828484664197797,8.480190759871153,8.366445518108703,8.597071455385795,0.9977623140396104,0.056977305937794674,51,0.0850919783187185,4.895819727167643e-4,-0.00335476270796059,7.385628808118332e-4,-0.004802345954351783,-0.0019071794615693972
2015,Total,Both,30,80,50,0.004228617914984572,0.07680335345586192,8.607689794827602e-4,0.07507357342980436,0.07853313348191948,9.024959840565941,8.826175014645596,9.232905120841956,0.9938829200577118,0.0886912341926893,51,0.08070412131482982,5.302040051289769e-4,-0.0039007678589678962,0.0010109597039915097,-0.005882248878791255,-0.0019192868391445374
2015,Total,Male,30,80,50,0.005311612114003694,0.0751353452430803,0.0010124854268841505,0.07310067960125968,0.07717001088490091,9.225314375244475,8.982079600763235,9.482089418878683,0.9911806237070775,0.10432367366029796,51,0.07908750966430296,6.290242573874038e-4,-0.003952164421222662,0.0011919724225142774,-0.006288430369350646,-0.0016158984730946782
2015,Total,Female,30,80,50,0.0031765361660410223,0.08079553061280244,6.829683904893256e-4,0.07942305424753307,0.0821680069780718,8.579028756946029,8.435730718708141,8.727279341331485,0.9965109700547355,0.07037115754739633,51,0.0850919783187185,4.895819727167643e-4,-0.004296447705916057,8.403191836539366e-4,-0.005943473305877772,-0.002649422105954341
2016,Total,Both,30,80,50,0.004384397707534539,0.07444477109266155,9.584651831586095e-4,0.07251866319493547,0.07637087899038764,9.310891421738454,9.076066554729424,9.558190264714547,0.9919431155914322,0.09875757845750953,51,0.08070412131482982,5.302040051289769e-4,-0.006259350222168267,0.0010953409489205062,-0.008406218482052459,-0.004112481962284075
2016,Total,Male,30,80,50,0.005530009135062796,0.07260171043439123,0.0010995535066764329,0.07039207493547565,0.07481134593330681,9.547256895363768,9.26526814766674,9.846949123112413,0.9888857229646693,0.11329492569148217,51,0.07908750966430296,6.290242573874038e-4,-0.006485799229911729,0.0012667633679682307,-0.008968655431129461,-0.004002943028693997
2016,Total,Female,30,80,50,0.0032690481069317595,0.07878913275983557,7.58116937481692e-4,0.07726563973542411,0.08031262578424703,8.797497272533652,8.630612855592913,8.970962810033615,0.9954838324091042,0.07811425417309643,51,0.0850919783187185,4.895819727167643e-4,-0.006302845558882927,9.024587519138247e-4,-0.008071664712634024,-0.004534026405131831
2017,Total,Both,30,80,50,0.004421380592251377,0.07374617428274566,0.0010237932300133355,0.0716887847597703,0.07580356380572102,9.39909340791554,9.143991994049657,9.668837083550617,0.9906446616393754,0.1054887981471702,51,0.08070412131482982,5.302040051289769e-4,-0.006957947032084161,0.0011529392286135235,-0.009217707920166667,-0.004698186144001654
2017,Total,Male,30,80,50,0.0055937646006505365,0.07175334323702778,0.001153055761620794,0.06943619093144544,0.07407049554261012,9.66013776208621,9.357939021228802,9.982505826742305,0.9875045607267592,0.1188076487753911,51,0.07908750966430296,6.290242573874038e-4,-0.007334166427275177,0.0013134721564573358,-0.009908571853931555,-0.004759761000618798
2017,Total,Female,30,80,50,0.0032772698083316375,0.07837768304075872,8.171334216854027e-4,0.07673559195110904,0.0800197741304084,8.843680416011892,8.662198663924269,9.032929347851697,0.9947022642417505,0.08419514805577993,51,0.0850919783187185,4.895819727167643e-4,-0.006714295277959775,9.525741634353373e-4,-0.008581340638293036,-0.004847249917626514
2018,Total,Both,30,80,50,0.004385157399770728,0.07378588766324358,9.736028527795163e-4,0.07182935947949948,0.07574241584698768,9.394034584546123,9.151374072358852,9.649914541668348,0.99154090739762,0.10031732170277165,51,0.08070412131482982,5.302040051289769e-4,-0.006918233651586239,0.0011086112041627672,-0.009091111611745263,-0.0047453556914272155
2018,Total,Male,30,80,50,0.005561181193035645,0.07194824632499773,0.001064812040634778,0.06980842641594102,0.07408806623405444,9.633969081455122,9.355719696748428,9.92927668115525,0.9893814473824686,0.10971526195551749,51,0.07908750966430296,6.290242573874038e-4,-0.00713926333930523,0.0012367280211358416,-0.009563250260731479,-0.0047152764178789806
2018,Total,Female,30,80,50,0.003239739180535288,0.07815666093481662,8.360098594203168e-4,0.07647663622332965,0.07983668564630358,8.86868978624914,8.682063577022223,9.063515536114762,0.9944248206803011,0.08614012353674698,51,0.0850919783187185,4.895819727167643e-4,-0.006935317383901879,9.688152522835385e-4,-0.008834195278377614,-0.005036439489426144
2019,Total,Both,30,80,50,0.004396140916153152,0.07295259142970786,9.660981522271086e-4,0.07101114450635596,0.07489403835305977,9.501337333956322,9.255038128567238,9.76110419538308,0.9914799708393692,0.0995440582951619,51,0.08070412131482982,5.302040051289769e-4,-0.007751529885121955,0.0011020262822598386,-0.009911501398351239,-0.005591558371892671
2019,Total,Male,30,80,50,0.005594488942060982,0.07099241835610078,0.0010448798225947181,0.06889265373883843,0.07309218297336312,9.763678947843298,9.483191667877096,10.061264052732833,0.9894968578433851,0.10766150181742216,51,0.07908750966430296,6.290242573874038e-4,-0.008095091308202185,0.0012196086913626618,-0.010485524343273002,-0.005704658273131368
2019,Total,Female,30,80,50,0.003226794640839444,0.07758101978980776,8.378925192634373e-4,0.07589721173172012,0.0792648278478954,8.934494318815435,8.744700510673592,9.132709420341651,0.9943168835915022,0.08633410755456289,51,0.0850919783187185,4.895819727167643e-4,-0.007510958528910733,9.70440303082507e-4,-0.009413021522952446,-0.005608895534869019
2019,Hispanic,Both,30,80,50,0.0032688712605449485,0.07421389297586792,0.0010514592363608454,0.07210090653162635,0.07632687942010949,9.33985744131945,9.081298565146435,9.613570950816037,0.9902599819357566,0.10833942625602458,51,,,,,,
2019,Hispanic,Male,30,80,50,0.00432186693011171,0.07213093689761658,0.0011658672459183045,0.0697880389504391,0.07447383484479407,9.609568520422876,9.307257804093034,9.932177361398463,0.9873605864647804,0.12012770837473823,51,,,,,,
2019,Hispanic,Female,30,80,50,0.002196984033209302,0.08156203507414096,8.217037004229558e-4,0.07991075966551353,0.0832133104827684,8.498404679700124,8.32976330996326,8.674015657732276,0.9950512455378279,0.0846660568263095,51,,,,,,
2019,American Indian or Alaska Native non-Hispanic,Both,30,80,50,0.009947342338502632,0.052340241258325385,5.403612874335501e-4,0.05125434459599565,0.05342613792065512,13.243102513397211,12.973933874639423,13.52367659802441,0.9948044584993186,0.05567731950706522,51,,,,,,
2019,American Indian or Alaska Native non-Hispanic,Male,30,80,50,0.01217663012773549,0.05157248802590512,5.411292574284139e-4,0.05048504807009084,0.052659927981719395,13.440250937898789,13.162706580240055,13.729751818748701,0.9946343124290773,0.05575644899278198,51,,,,,,
2019,American Indian or Alaska Native non-Hispanic,Female,30,80,50,0.007839353425301374,0.054533505274116774,6.986015941671869e-4,0.05312961280985939,0.05593739773837416,12.710482795407865,12.391480629861919,13.046343534265628,0.9920228078337544,0.0719819592394001,51,,,,,,
2019,Asian non-Hispanic,Both,30,80,50,0.0017672537899799789,0.08465305905250521,0.001192973917314503,0.08225568820972892,0.0870504298952815,8.188093712361034,7.962593423074144,8.426738571472583,0.9903624459264925,0.12292070417069402,51,,,,,,
2019,Asian non-Hispanic,Male,30,80,50,0.0023689965212906885,0.08315953245365507,0.0010333700532875157,0.08108289758377756,0.08523616732353258,8.335150043637357,8.132078228352913,8.548623707530464,0.9924905157484787,0.1064755672990311,51,,,,,,
2019,Asian non-Hispanic,Female,30,80,50,0.0012052321399012864,0.09077358986476917,0.0010006288868132523,0.08876275083227307,0.09278442889726528,7.636000532672201,7.470511903753013,7.8089871490094165,0.9940810465572366,0.10310200884986892,51,,,,,,
2019,Black non-Hispanic,Both,30,80,50,0.006590654117128755,0.06883970188497222,6.29094439211681e-4,0.06757548927811673,0.07010391449182772,10.06900322895297,9.887424769136794,10.257375684061977,0.9959245436488863,0.06482013591029885,51,,,,,,
2019,Black non-Hispanic,Male,30,80,50,0.008585696690624168,0.06752076340013909,8.071424868987328e-4,0.06589874984563249,0.06914277695464568,10.265689332513048,10.024867543497946,10.518366162994583,0.9930466918176201,0.08316571000899894,51,,,,,,
2019,Black non-Hispanic,Female,30,80,50,0.004832465501876582,0.07323970060636328,3.7737769829741607e-4,0.07248133172881997,0.0739980694839066,9.464090852655978,9.367098160725583,9.563113204835565,0.9987007557586852,0.03888394518922663,51,,,,,,
2019,White non-Hispanic,Both,30,80,50,0.0045391363633242535,0.07164669049332915,0.0010210336068772737,0.06959484664067184,0.07369853434598647,9.674517773078193,9.405169135465897,9.959748659821948,0.9901466612716939,0.10520445427828323,51,,,,,,
2019,White non-Hispanic,Male,30,80,50,0.005718838479070045,0.06981714971050797,0.0010836201623057578,0.06763953346588435,0.07199476595513159,9.928036068989247,9.627744063949411,10.247663534071403,0.9883337937529658,0.11165319833985128,51,,,,,,
2019,White non-Hispanic,Female,30,80,50,0.003370258740684403,0.07586567205733784,9.50140726175137e-4,0.07395629278222829,0.07777505133244739,9.13650616626816,8.912204732557568,9.372389481460173,0.9923729560442524,0.09789984963427546,51,,,,,,
2020,Total,Both,30,80,50,0.005316065692064949,0.07119264572165691,9.609885636604326e-4,0.06926146690096051,0.07312382454235332,9.736218868307754,9.479088175406833,10.007688424374576,0.991150840832424,0.09901758054445618,51,0.08070412131482982,5.302040051289769e-4,-0.009511475593172905,0.001097549682948772,-0.011662672971752499,-0.0073602782145933115
2020,Total,Male,30,80,50,0.006868108246886146,0.06899960855972695,0.0010298738224136593,0.06692999962883682,0.07106921749061708,10.045668302015773,9.753128077587995,10.356300379558085,0.9892016918886427,0.10611532542389839,51,0.07908750966430296,6.290242573874038e-4,-0.01008790110457601,0.001206777364087799,-0.012453184738188097,-0.007722617470963925
2020,Total,Female,30,80,50,0.003797756201530368,0.07648717806041226,8.272882970844542e-4,0.07482467998462453,0.0781496761362,9.062266358061652,8.869482444839846,9.263617040559048,0.9943003242960018,0.08524147808588403,51,0.0850919783187185,4.895819727167643e-4,-0.008604800258306233,9.612993469789391e-4,-0.010488946978384954,-0.006720653538227513
2020,Hispanic,Both,30,80,50,0.004713897589672109,0.07534747593951738,8.348566375503539e-4,0.0736697687141432,0.07702518316489156,9.199341741936328,8.99896828646407,9.40884154597426,0.9940203228641226,0.08602129877263144,51,,,,,,
2020,Hispanic,Male,30,80,50,0.006443772514977704,0.07329740147572503,8.611509271383886e-4,0.07156685389711684,0.07502794905433322,9.456640571214587,9.238519635635873,9.685310207381766,0.9932818457951791,0.08873058901353224,51,,,,,,
2020,Hispanic,Female,30,80,50,0.002958767316372086,0.08345228034425098,8.393787533994744e-4,0.08176548558684699,0.08513907510165497,8.30591060784232,8.141352014129074,8.477258779607208,0.9950672620367547,0.08648724497350617,51,,,,,,
2020,American Indian or Alaska Native non-Hispanic,Both,30,80,50,0.013989771980933843,0.05011235927731158,6.078081640919154e-4,0.04889092304182748,0.051333795512795675,13.831860853411634,13.502745581849068,14.177420621961657,0.9928431799748956,0.06262685750838479,51,,,,,,
2020,American Indian or Alaska Native non-Hispanic,Male,30,80,50,0.01721143918863647,0.049834440409306506,5.390507232331384e-4,0.04875117742434058,0.05091770339427243,13.9089989747432,13.6130880686562,14.218060305018795,0.9942994941884209,0.05554228262818847,51,,,,,,
